ID,NAME,TYPE,SUBTYPE,CLASSTYPE,PWR,ACC,DEF,INI,AFFTYPE,AFFVALUE,SPECIAL,SKILL,MINLEVEL,RARITY,COST,REGION,REGION2,REGION3,REGION4,ATTRIBUTE1,ATTRIBUTE2,ATTRIBUTE2,ATTRIBUTE3,DESC
27,Robe of Rebirth,Armor,Armor,Summoner,70,,6,-12,Air ,20,AutoReviveHalf,,18,Unique,235224,Expanse,,,,Classspecific,,,,Air Robe of Rebirth
28,Robe of Rebirth,Armor,Armor,Summoner,70,,6,-12,Earth ,20,AutoReviveHalf,,18,Unique,235224,Expanse,,,,Classspecific,,,,Earth Robe of Rebirth
29,Ramshead Bow,Weapon,Bow,Eiji,60,,-10,,Earth ,0,,,20,Unique,14400,Steppes,,,,Animating,Classspecific,,,Earth Ramshead Bow
30,Ramshead Bow,Weapon,Bow,Eiji,60,,-10,,Fire ,0,,,20,Unique,14400,Steppes,,,,Animating,Classspecific,,,Fire Ramshead Bow
31,Ramshead Bow,Weapon,Bow,Eiji,60,,-10,,Water ,0,,,20,Unique,14400,Steppes,,,,Animating,Classspecific,,,Water Ramshead Bow
32,Digladio,Shield,Shield,Heavy,106,-2,6,,Air ,8,DamageReturnMedium,,7,Infrequent,3024,Imperia,,,,,,,,Air Digladio
33,Digladio,Shield,Shield,Heavy,106,-2,6,,Earth ,8,DamageReturnMedium,,7,Infrequent,3024,Imperia,,,,,,,,Earth Digladio
34,Digladio,Shield,Shield,Heavy,106,-2,6,,Fire ,8,DamageReturnMedium,,7,Infrequent,3024,Imperia,,,,,,,,Fire Digladio
35,Digladio,Shield,Shield,Heavy,106,-2,6,,Water ,8,DamageReturnMedium,,7,Infrequent,3024,Imperia,,,,,,,,Water Digladio
36,Shank,Weapon,Sword,Bandit,22,9,-5,,,,DeathFromBehind,,8,Unique,19008,Expanse,Imperia,Nordagh,Steppes,Classspecific,,,,Shank
37,Dyed Cotton Toga,Armor,Armor,Arcane,46,,5,-10,Water ,18,BeastEvade,,12,Infrequent,21120,Imperia,,,,,,,,Water Dyed Cotton Toga
38,Amazonian Headband,Helmet,HelmetA,Amazon,60,-4,3,,Air ,18,,,12,Unique,7104,Imperia,,,,Tracked,Classspecific,,,Air Amazonian Headband
39,Tekuja Axe,Weapon,Axe,TwoHanded,84,10,-10,,Air ,16,,,20,Very Rare,57600,Expanse,,,,,,,,Air Tekuja Axe
40,Tekuja Axe,Weapon,Axe,TwoHanded,84,10,-10,,Earth ,16,,,20,Very Rare,57600,Expanse,,,,,,,,Earth Tekuja Axe
41,Tekuja Hammer,Weapon,Hammer,TwoHanded,92,,-10,,Air ,16,,,20,Very Rare,54000,Expanse,,,,,,,,Air Tekuja Hammer
42,Tekuja Hammer,Weapon,Hammer,TwoHanded,92,,-10,,Earth ,16,,,20,Very Rare,54000,Expanse,,,,,,,,Earth Tekuja Hammer
43,Tawuus,Weapon,Spear,Heavy,76,8,-10,,Air ,8,,,20,Very Rare,32400,Expanse,,,,,,,,Air Tawuus
44,Tawuus,Weapon,Spear,Heavy,76,8,-10,,Earth ,8,,,20,Very Rare,32400,Expanse,,,,,,,,Earth Tawuus
45,Tekuja Sword,Weapon,Sword,TwoHanded,76,15,-10,,Air ,16,,,20,Very Rare,48600,Expanse,,,,,,,,Air Tekuja Sword
46,Tekuja Sword,Weapon,Sword,TwoHanded,76,15,-10,,Earth ,16,,,20,Very Rare,48600,Expanse,,,,,,,,Earth Tekuja Sword
47,Horned Shield,Shield,Shield,Heavy,194,-3,10,,Earth ,4,DamageReturnMedium,,13,Frequent,5408,Steppes,,,,,,,,Earth Horned Shield
48,Dyed Cotton Toga,Armor,Armor,Arcane,46,,5,-10,Air ,18,BeastEvade,,12,Infrequent,21120,Imperia,,,,,,,,Air Dyed Cotton Toga
49,Dyed Cotton Toga,Armor,Armor,Arcane,46,,5,-10,Fire ,18,BeastEvade,,12,Infrequent,21120,Imperia,,,,,,,,Fire Dyed Cotton Toga
50,Horned Shield,Shield,Shield,Heavy,194,-3,10,,Air ,4,DamageReturnMedium,,13,Frequent,5408,Steppes,,,,,,,,Air Horned Shield
51,Horned Shield,Shield,Shield,Heavy,194,-3,10,,Fire ,4,DamageReturnMedium,,13,Frequent,5408,Steppes,,,,,,,,Fire Horned Shield
52,Spiked Round Shield,Shield,Shield,Medium,91,-2,7,,Air ,4,DamageReturnLight,,8,Frequent,1600,Steppes,,,,,,,,Air Spiked Round Shield
53,Spiked Round Shield,Shield,Shield,Medium,91,-2,7,,Fire ,4,DamageReturnLight,,8,Frequent,1600,Steppes,,,,,,,,Fire Spiked Round Shield
54,Dark Interment Robes,Armor,Armor,UndeadCaster,50,5,5,-10,Dark ,20,,,13,Unique,125840,Expanse,,,,Classspecific,,,,Dark Interment Robes
55,Infula,Helmet,HelmetB,Arcane,40,-3,2,,,,ConfuseBlind,,8,Common,4992,Expanse,,,,,,,,Infula
56,Diamond Shield,Shield,Shield,Heavy,165,-3,9,,,,BlindCounter,,11,Very Rare,4400,Expanse,,,,,,,,Diamond Shield
57,Braided Metal Bikini,Armor,Armor,Amazon,78,,6,-12,Air ,16,,,18,Unique,130680,Steppes,,,,Classspecific,,,,Air Braided Metal Bikini
58,Mage's Robe,Armor,Armor,Channeler,70,,6,-12,Air ,16,MagicUP,,18,Unique,217800,Imperia,,,,Classspecific,,,,Air Mage's Robe
59,Mage's Robe,Armor,Armor,Channeler,70,,6,-12,Earth ,16,MagicUP,,18,Unique,217800,Imperia,,,,Classspecific,,,,Earth Mage's Robe
60,Mage's Robe,Armor,Armor,Channeler,70,,6,-12,Fire ,16,MagicUP,,18,Unique,217800,Imperia,,,,Classspecific,,,,Fire Mage's Robe
61,Mage's Robe,Armor,Armor,Channeler,70,,6,-12,Water ,16,MagicUP,,18,Unique,217800,Imperia,,,,Classspecific,,,,Water Mage's Robe
62,Bladed Guard,Armor,Armor,Light,66,,6,-12,Air ,14,DamageReturnMedium,,17,Rare,43350,Steppes,,,,,,,,Air Bladed Guard
63,Bladed Guard,Armor,Armor,Light,66,,6,-12,Earth ,14,DamageReturnMedium,,17,Rare,43350,Steppes,,,,,,,,Earth Bladed Guard
64,Bladed Guard,Armor,Armor,Light,66,,6,-12,Fire ,14,DamageReturnMedium,,17,Rare,43350,Steppes,,,,,,,,Fire Bladed Guard
65,Bladed Guard,Armor,Armor,Light,66,,6,-12,Water ,14,DamageReturnMedium,,17,Rare,43350,Steppes,,,,,,,,Water Bladed Guard
66,Spiked Guard,Armor,Armor,Light,62,,6,-12,,,DamageReturnLight,,16,Rare,29600,Steppes,,,,,,,,Spiked Guard
67,Weapon Rig Guard,Armor,Armor,Light,70,4,6,-12,,,,,18,Rare,18900,Imperia,,,,,,,,Weapon Rig Guard
68,Imperial Breastplate,Armor,Armor,Peltast,78,,6,-12,Air ,16,,,20,Unique,145200,Imperia,,,,Classspecific,,,,Air Imperial Breastplate
69,Crested Campana,Helmet,Helmet,Murmillo,100,-5,4,,Fire ,10,,,20,Very Rare,10560,Imperia,,,,Classspecific,,,,Fire Crested Campana
70,Cycloptic Corinthian,Helmet,HelmetE,Cyclops,90,-5,4,,Air ,12,,,18,Unique,8928,Imperia,,,,Classspecific,,,,Air Cycloptic Corinthian
71,Cycloptic Corinthian,Helmet,HelmetE,Cyclops,90,-5,4,,Earth ,12,,,18,Unique,8928,Imperia,,,,Classspecific,,,,Earth Cycloptic Corinthian
72,Cycloptic Corinthian,Helmet,HelmetE,Cyclops,90,-5,4,,Fire ,12,,,18,Unique,8928,Imperia,,,,Classspecific,,,,Fire Cycloptic Corinthian
73,Cycloptic Corinthian,Helmet,HelmetE,Cyclops,90,-5,4,,Water ,12,,,18,Unique,8928,Imperia,,,,Classspecific,,,,Water Cycloptic Corinthian
74,Metal Crested Gallic,Helmet,HelmetE,Military,95,-5,4,,Earth ,12,,,19,Very Rare,10640,Imperia,,,,,,,,Earth Metal Crested Gallic
75,Imperial Tower,Shield,Shield,Centurion,267,-4,13,,Air ,16,,,18,Unique,12960,Imperia,,,,Classspecific,,,,Air Imperial Tower
76,Imperial Tower,Shield,Shield,Centurion,267,-4,13,,Earth ,16,,,18,Unique,12960,Imperia,,,,Classspecific,,,,Earth Imperial Tower
77,Imperial Tower,Shield,Shield,Centurion,267,-4,13,,Fire ,16,,,18,Unique,12960,Imperia,,,,Classspecific,,,,Fire Imperial Tower
78,Imperial Tower,Shield,Shield,Centurion,267,-4,13,,Water ,16,,,18,Unique,12960,Imperia,,,,Classspecific,,,,Water Imperial Tower
79,Jewel Rimmed Golden Tower,Shield,Shield,Heavy,238,-3,11,,,,CrowdUP,,16,Infrequent,6400,Expanse,,,,,,,,Jewel Rimmed Golden Tower
80,Ovoid Scutum,Shield,Shield,Legionnaire,209,-5,14,,,,,,19,Unique,8816,Imperia,,,,Classspecific,,,,Ovoid Scutum
81,Regius,Shield,Shield,Medium,177,-3,11,,,,,,16,Infrequent,1920,Imperia,,,,,,,,Regius
82,Shisa Vika,Shield,Shield,Murmillo,223,-3,11,,Fire ,12,,,15,Unique,9600,Expanse,,,,Unbreakable,Classspecific,,,Fire Shisa Vika
83,Elongated Arm Guard,Shield,Shield,Peltast,156,-3,11,,Air ,16,,,16,Unique,11264,Imperia,,,,Classspecific,,,,Air Elongated Arm Guard
84,Elongated Arm Guard,Shield,Shield,Peltast,156,-3,11,,Earth ,16,,,16,Unique,11264,Imperia,,,,Classspecific,,,,Earth Elongated Arm Guard
85,Elongated Arm Guard,Shield,Shield,Peltast,156,-3,11,,Fire ,16,,,16,Unique,11264,Imperia,,,,Classspecific,,,,Fire Elongated Arm Guard
86,Elongated Arm Guard,Shield,Shield,Peltast,156,-3,11,,Water ,16,,,16,Unique,11264,Imperia,,,,Classspecific,,,,Water Elongated Arm Guard
87,Cultellus,Weapon,Axe,Ogre,84,10,-10,,Earth ,12,,,20,Unique,46080,Imperia,,,,Classspecific,,,,Earth Cultellus
88,Falarica,Weapon,Javelin,Plain,57,,-9,,Air ,16,,,18,Rare,34992,Imperia,,,,,,,,Air Falarica
89,Falarica,Weapon,Javelin,Plain,57,,-9,,Earth ,16,,,18,Rare,34992,Imperia,,,,,,,,Earth Falarica
90,Falarica,Weapon,Javelin,Plain,57,,-9,,Fire ,16,,,18,Rare,34992,Imperia,,,,,,,,Fire Falarica
91,Falarica,Weapon,Javelin,Plain,57,,-9,,Water ,16,,,18,Rare,34992,Imperia,,,,,,,,Water Falarica
92,Assegai,Weapon,Spear,Heavy,68,8,-9,,Air ,16,,,18,Rare,36936,Steppes,,,,,,,,Air Assegai
93,Assegai,Weapon,Spear,Heavy,68,8,-9,,Earth ,16,,,18,Rare,36936,Steppes,,,,,,,,Earth Assegai
94,Assegai,Weapon,Spear,Heavy,68,8,-9,,Fire ,16,,,18,Rare,36936,Steppes,,,,,,,,Fire Assegai
95,Assegai,Weapon,Spear,Heavy,68,8,-9,,Water ,16,,,18,Rare,36936,Steppes,,,,,,,,Water Assegai
96,Naginata,Weapon,Spear,Light,43,8,-9,,Air ,16,,,16,Common,16800,Steppes,,,,,,,,Air Naginata
97,Naginata,Weapon,Spear,Light,43,8,-9,,Earth ,16,,,16,Common,16800,Steppes,,,,,,,,Earth Naginata
98,Naginata,Weapon,Spear,Light,43,8,-9,,Fire ,16,,,16,Common,16800,Steppes,,,,,,,,Fire Naginata
99,Naginata,Weapon,Spear,Light,43,8,-9,,Water ,16,,,16,Common,16800,Steppes,,,,,,,,Water Naginata
100,Spetum,Weapon,Spear,Light,49,8,-9,,,,,,18,Rare,11880,Imperia,,,,,,,,Spetum
101,Emperor's Blade,Weapon,Sword,Centurion,76,15,-10,,,,CrowdUP,,20,Unique,48600,Imperia,,,,Classspecific,,,,Emperor's Blade
102,Harpe,Weapon,Sword,Light,54,15,-10,,Air ,18,DoublePierce,,20,Rare,39600,Imperia,,,,,,,,Air Harpe
103,Harpe,Weapon,Sword,Light,54,15,-10,,Earth ,18,DoublePierce,,20,Rare,39600,Imperia,,,,,,,,Earth Harpe
104,Harpe,Weapon,Sword,Light,54,15,-10,,Fire ,18,DoublePierce,,20,Rare,39600,Imperia,,,,,,,,Fire Harpe
105,Harpe,Weapon,Sword,Light,54,15,-10,,Water ,18,DoublePierce,,20,Rare,39600,Imperia,,,,,,,,Water Harpe
106,Blade of Tides,Weapon,Sword,Murmillo,49,15,-9,,Water ,18,bleeding,,17,Unique,58752,Imperia,,,,Classspecific,,,,Water Blade of Tides
107,Full Del,Armor,Armor,Arcane,50,,5,-10,Fire ,20,DoubleFrontProtection,,13,Infrequent,23712,Steppes,,,,,,,,Fire Full Del
108,Full Del,Armor,Armor,Arcane,50,,5,-10,Water ,20,DoubleFrontProtection,,13,Infrequent,23712,Steppes,,,,,,,,Water Full Del
109,Wizard's Cloak,Armor,Armor,Arcane,58,,5,-10,Fire ,20,MagicUP,,15,Rare,27840,Expanse,,,,,,,,Fire Wizard's Cloak
110,Wizard's Cloak,Armor,Armor,Arcane,58,,5,-10,Water ,20,MagicUP,,15,Rare,27840,Expanse,,,,,,,,Water Wizard's Cloak
111,Oiled Pelt,Armor,Armor,Barbarian,49,,5,-10,Water ,8,NegatePoison,,13,Rare,144716,Expanse,,,,,,,,Water Oiled Pelt
112,Horned Shield,Shield,Shield,Heavy,194,-3,10,,Water ,4,DamageReturnMedium,,13,Frequent,5408,Steppes,,,,,,,,Water Horned Shield
113,Quilted Poison Shield,Shield,Shield,Heavy,223,-3,11,,Water ,10,PoisonBlock,,15,Rare,7320,Steppes,,,,,,,,Water Quilted Poison Shield
114,Poison Axe,Weapon,Axe,Light,39,8,-7,,Water ,10,AddPoison,,13,Rare,28080,Steppes,,,,,,,,Water Poison Axe
115,Scarab Shell,Armor,Armor,Secutor,70,5,6,-12,Earth ,8,,,18,Unique,117612,Expanse,,,,,,,,Earth Scarab Shell
116,Sufi's Sikke,Helmet,Helmet,Dervish,100,-5,4,,Air ,16,,,20,Very Rare,12480,Expanse,,,,Unbreakable,Classspecific,,,Air Sufi's Sikke
117,Holy Miter,Helmet,HelmetB,Arcane,80,-5,4,,,,AutoReviveHalf,,16,Rare,10752,Expanse,,,,,,,,Holy Miter
118,Enforced Gallic,Helmet,HelmetE,Military,95,-5,4,,Air ,8,,,19,Rare,9120,Expanse,,,,,,,,Air Enforced Gallic
119,Enforced Gallic,Helmet,HelmetE,Military,95,-5,4,,Earth ,8,,,19,Rare,9120,Expanse,,,,,,,,Earth Enforced Gallic
120,Obsidian Tower,Shield,Shield,Heavy,282,-5,14,,Earth ,16,,,19,Rare,7296,Expanse,,,,,,,,Earth Obsidian Tower
121,Eye of the Cyclops,Shield,Shield,Light,175,-4,13,,Earth ,16,PetrifyBlock,,18,Very Rare,2484,Expanse,,,,,,,,Earth Eye of the Cyclops
122,Mirror Shield,Shield,Shield,Medium,199,-4,13,,Air ,8,BlockAccDown,,18,Infrequent,4248,Expanse,,,,,,,,Air Mirror Shield
123,Mirror Shield,Shield,Shield,Medium,199,-4,13,,Earth ,8,BlockAccDown,,18,Infrequent,4248,Expanse,,,,,,,,Earth Mirror Shield
124,Snakeskin Bow,Weapon,Bow,Plain,48,,-9,,Air ,12,AddPoison,,16,Rare,52992,Expanse,,,,Animating,,,,Air Snakeskin Bow
125,Snakeskin Bow,Weapon,Bow,Plain,48,,-9,,Earth ,12,AddPoison,,16,Rare,52992,Expanse,,,,Animating,,,,Earth Snakeskin Bow
126,Asaya,Weapon,Staff,Plain,48,15,-9,,Air ,14,MagicStrengthUP,,16,Rare,72576,Expanse,,,,,,,,Air Asaya
127,Mythic Miter,Helmet,HelmetB,Arcane,85,-5,4,,Air ,6,MoveUP,,17,Rare,13056,Expanse,,,,,,,,Air Mythic Miter
128,Ceremonial Axe,Weapon,Axe,Light,57,10,-10,,Earth ,18,,,19,Very Rare,31920,Expanse,,,,,,,,Earth Ceremonial Axe
129,Horn Guard Helmet,Helmet,Helmet,Minotaur,100,-4,3,,,,,,15,Rare,5280,Imperia,,,,Classspecific,,,,Horn Guard Helmet
130,Crested Pondus,Helmet,HelmetF,Gladiatorial,100,-5,4,,Air ,4,,,20,Very Rare,8640,Imperia,,,,,,,,Air Crested Pondus
131,Crested Pondus,Helmet,HelmetF,Gladiatorial,100,-5,4,,Earth ,4,,,20,Very Rare,8640,Imperia,,,,,,,,Earth Crested Pondus
132,Crested Pondus,Helmet,HelmetF,Gladiatorial,100,-5,4,,Fire ,4,,,20,Very Rare,8640,Imperia,,,,,,,,Fire Crested Pondus
133,Crested Pondus,Helmet,HelmetF,Gladiatorial,100,-5,4,,Water ,4,,,20,Very Rare,8640,Imperia,,,,,,,,Water Crested Pondus
134,The Androktone,Weapon,Bow,Amazon,57,,-10,,,,DamageMale,,19,Unique,41040,Imperia,,,,Animating,Classspecific,,,The Androktone
135,Executioner's Sword,Weapon,Sword,Heavy,65,15,-9,,,,Death,,17,Infrequent,44064,Imperia,,,,,,,,Executioner's Sword
136,Razor Shard,Weapon,Sword,Secutor,43,15,-9,,,,Bleeding,,16,Unique,39744,Imperia,,,,Classspecific,,,,Razor Shard
137,Robustus Gustos,Armor,Armor,Heavy,87,,6,-12,Earth ,18,DamageReturnHeavy,,19,Very Rare,212800,Imperia,,,,,,,,Earth Robustus Gustos
138,Petrified Bludgeon,Weapon,Club,Mongrel,63,,-10,,Earth ,50,,,20,Rare,90720,Imperia,,,,,,,,Earth Petrified Bludgeon
139,Shattered Thracian,Helmet,HelmetF,Mongrel,90,-5,4,,,,,,18,Unique,5472,Imperia,,,,Classspecific,,,,Shattered Thracian
140,Black Bow,Weapon,Bow,Plain,51,,-9,,Air ,12,SuperRange,,17,Very Rare,57528,Imperia,,,,Animating,,,,Air Black Bow
141,Magus,Weapon,Staff,Plain,54,15,-9,,Fire ,14,MagicUP,MagicDefUP,18,Infrequent,106272,Imperia,,,,,,,,Fire Magus
142,Spiked Helm,Helmet,HelmetD,Barbarian,95,-5,4,,Water ,16,,,19,Unique,10640,Nordagh,,,,Classspecific,,,,Water Spiked Helm
143,Gungnir,Weapon,Javelin,Gungnir,60,99,-10,,Water ,14,,,19,Unique,151438,Nordagh,,,,,,,,Water Gungnir
144,Barricade Shield,Shield,Shield,Gungnir,156,-3,11,,Air ,14,,,16,Unique,10752,Nordagh,,,,Classspecific,,,,Air Barricade Shield
145,Barricade Shield,Shield,Shield,Gungnir,156,-3,11,,Earth ,14,,,16,Unique,10752,Nordagh,,,,Classspecific,,,,Earth Barricade Shield
146,Spiked Helm,Helmet,HelmetD,Barbarian,95,-5,4,,Fire ,16,,,19,Unique,10640,Nordagh,,,,Classspecific,,,,Fire Spiked Helm
147,Gungnir,Weapon,Javelin,Gungnir,60,99,-10,,Fire ,14,,,19,Unique,151438,Nordagh,,,,,,,,Fire Gungnir
148,Cloak of the Heavens,Armor,Armor,Arcane,66,,6,-12,Air ,22,AffinityUP,,17,Very Rare,32640,Nordagh,,,,,,,,Air Cloak of the Heavens
149,Cloak of the Heavens,Armor,Armor,Arcane,66,,6,-12,Earth ,22,AffinityUP,,17,Very Rare,32640,Nordagh,,,,,,,,Earth Cloak of the Heavens
150,Cloak of the Heavens,Armor,Armor,Arcane,66,,6,-12,Fire ,22,AffinityUP,,17,Very Rare,32640,Nordagh,,,,,,,,Fire Cloak of the Heavens
151,Cloak of the Heavens,Armor,Armor,Arcane,66,,6,-12,Water ,22,AffinityUP,,17,Very Rare,32640,Nordagh,,,,,,,,Water Cloak of the Heavens
152,Dragon Robe,Armor,Armor,Arcane,70,,6,-12,Fire ,24,,,18,Very Rare,24192,Steppes,,,,,,,,Fire Dragon Robe
153,Dragon Hide,Armor,Armor,Barbarian,79,,6,-12,Fire ,18,,,20,Very Rare,174240,Steppes,,,,Classspecific,,,,Fire Dragon Hide
154,Dragon's Cape,Armor,Armor,Medium,75,,6,-12,Fire ,16,,,19,Very Rare,82688,Nordagh,,,,Tracked,,,,Fire Dragon's Cape
155,Spiked Helm,Helmet,HelmetD,Barbarian,95,-5,4,,Earth ,16,,,19,Unique,10640,Nordagh,,,,Classspecific,,,,Earth Spiked Helm
156,Dragon's Claw,Shield,Shield,Light,194,-5,15,,Fire ,18,,,20,Very Rare,2080,Nordagh,,,,Tracked,,,,Fire Dragon's Claw
157,Altan,Weapon,Axe,Medium,63,10,-10,,Air ,16,,,20,Very Rare,48000,Nordagh,,,,,,,,Air Altan
158,Altan,Weapon,Axe,Medium,63,10,-10,,Earth ,16,,,20,Very Rare,48000,Nordagh,,,,,,,,Earth Altan
159,Altan,Weapon,Axe,Medium,63,10,-10,,Fire ,16,,,20,Very Rare,48000,Nordagh,,,,,,,,Fire Altan
160,Altan,Weapon,Axe,Medium,63,10,-10,,Water ,16,,,20,Very Rare,48000,Nordagh,,,,,,,,Water Altan
161,Canteen,Weapon,Carafe,Satyr,57,10,-10,,Air ,19,,,19,Common,53352,Expanse,Imperia,Nordagh,Steppes,,,,,Air Canteen
162,Canteen,Weapon,Carafe,Satyr,57,10,-10,,Earth ,19,,,19,Common,53352,Expanse,Imperia,Nordagh,Steppes,,,,,Earth Canteen
163,Canteen,Weapon,Carafe,Satyr,57,10,-10,,Fire ,19,,,19,Common,53352,Expanse,Imperia,Nordagh,Steppes,,,,,Fire Canteen
164,Canteen,Weapon,Carafe,Satyr,57,10,-10,,Water ,19,,,19,Common,53352,Expanse,Imperia,Nordagh,Steppes,,,,,Water Canteen
165,Mjollnir,Weapon,Hammer,Heavy,92,,-10,,Fire ,16,Burn,,20,Unique,82800,Nordagh,,,,,,,,Fire Mjollnir
166,Tsunami,Weapon,Sword,Dervish,54,15,-10,,Water ,32,,,20,Rare,64800,Steppes,,,,Classspecific,,,,Water Tsunami
167,Precious Cuirass,Armor,Armor,Medium,79,,6,-12,Earth ,18,,,20,Very Rare,92160,Imperia,,,,,,,,Earth Precious Cuirass
168,Carafe,Weapon,Carafe,Satyr,60,10,-10,,Fire ,20,,,20,Rare,61920,Imperia,,,,Classspecific,,,,Fire Carafe
169,The Tenderizer,Weapon,Hammer,Heavy,92,,-10,,Air ,18,,,20,Very Rare,57600,Nordagh,,,,,,,,Air The Tenderizer
170,The Tenderizer,Weapon,Hammer,Heavy,92,,-10,,Earth ,18,,,20,Very Rare,57600,Nordagh,,,,,,,,Earth The Tenderizer
171,The Tenderizer,Weapon,Hammer,Heavy,92,,-10,,Fire ,18,,,20,Very Rare,57600,Nordagh,,,,,,,,Fire The Tenderizer
172,The Tenderizer,Weapon,Hammer,Heavy,92,,-10,,Water ,18,,,20,Very Rare,57600,Nordagh,,,,,,,,Water The Tenderizer
173,Bear Cowl,Helmet,Helmet,Gungnir,100,-5,4,,Earth ,14,,,20,Unique,10560,Nordagh,,,,Classspecific,,,,Earth Bear Cowl
174,Acid Guard,Armor,Armor,Light,78,,6,-12,Earth ,18,DamageReturnMedium,,20,Very Rare,56000,Steppes,,,,,,,,Earth Acid Guard
175,Horned Spangenhelm,Helmet,HelmetD,Helm,100,-5,4,,Air ,10,,,20,Very Rare,10560,Nordagh,,,,,,,,Air Horned Spangenhelm
176,Horned Spangenhelm,Helmet,HelmetD,Helm,100,-5,4,,Earth ,10,,,20,Very Rare,10560,Nordagh,,,,,,,,Earth Horned Spangenhelm
