//Saved School
NAME:	"Daxterius Maximus"
INVENTORY:	"Air Test Helmet C"
INVENTORY:	"Earth Test Helmet C"
INVENTORY:	"Fire Test Helmet C"
INVENTORY:	"Water Test Helmet C"
INVENTORY:	"Air Test Helmet D"
INVENTORY:	"Earth Test Helmet D"
INVENTORY:	"Fire Test Helmet D"
INVENTORY:	"Water Test Helmet D"
INVENTORY:	"Air Test Helmet E"
INVENTORY:	"Earth Test Helmet E"
INVENTORY:	"Fire Test Helmet E"
INVENTORY:	"Water Test Helmet E"
INVENTORY:	"Air Test Helmet F"
INVENTORY:	"Earth Test Helmet F"
INVENTORY:	"Fire Test Helmet F"
INVENTORY:	"Water Test Helmet F"
INVENTORY:	"Air Test Helmet Dervish"
INVENTORY:	"Earth Test Helmet Dervish"
INVENTORY:	"Fire Test Helmet Dervish"
INVENTORY:	"Water Test Helmet Dervish"
INVENTORY:	"Air Test Helmet Gungnir"
INVENTORY:	"Earth Test Helmet Gungnir"
INVENTORY:	"Fire Test Helmet Gungnir"
INVENTORY:	"Water Test Helmet Gungnir"
INVENTORY:	"Air Test Helmet Minotaur"
INVENTORY:	"Earth Test Helmet Minotaur"
INVENTORY:	"Fire Test Helmet Minotaur"
INVENTORY:	"Water Test Helmet Minotaur"
INVENTORY:	"Air Test Helmet Mongrel"
INVENTORY:	"Earth Test Helmet Mongrel"
INVENTORY:	"Fire Test Helmet Mongrel"
INVENTORY:	"Water Test Helmet Mongrel"
INVENTORY:	"Air Test Helmet Murmillo"
INVENTORY:	"Earth Test Helmet Murmillo"
INVENTORY:	"Fire Test Helmet Murmillo"
INVENTORY:	"Water Test Helmet Murmillo"

///////////////////////// SHIELDS
INVENTORY:	"Air Test Shield Medium"  
INVENTORY:	"Earth Test Shield Medium"
INVENTORY:	"Fire Test Shield Medium" 
INVENTORY:	"Water Test Shield Medium"
INVENTORY:	"Air Test Shield Unbreak"  
INVENTORY:	"Earth Test Shield Unbreak"
INVENTORY:	"Fire Test Shield Unbreak" 
INVENTORY:	"Water Test Shield Unbreak"
INVENTORY:	"Air Test Shield Light"  
INVENTORY:	"Earth Test Shield Light"
INVENTORY:	"Fire Test Shield Light" 
INVENTORY:	"Water Test Shield Light"
INVENTORY:	"Air Test Shield Heavy"  
INVENTORY:	"Earth Test Shield Heavy"
INVENTORY:	"Fire Test Shield Heavy" 
INVENTORY:	"Water Test Shield Heavy"
INVENTORY:	"Air Test Shield Murmillo"  
INVENTORY:	"Earth Test Shield Murmillo"
INVENTORY:	"Fire Test Shield Murmillo" 
INVENTORY:	"Water Test Shield Murmillo"







///////////////////////////////////    Characters
CREATEUNIT:		"Amazon1", "Amazon"		// Name, class
	LEVEL:		20
	EXPERIENCE:	0
	JOBPOINTS:	283

	//            	CON, PWR, ACC, DEF, INT, MOVE
	CORESTATSCOMP2:	 68,  72,  98, 104, 102, 102

					//	weapon,	armor,	shield,	helmet,	accessory
	ITEMSCOMP:			"Amazonian Bow", "", "", "", ""

	// defense skills
	SKILL: "Amazon Evade"

	// basic skills
	SKILL: "Amazon Attack"
	SKILL: "Amazon Punch"
	SKILL: "Amazon Knee"
	SKILL: "Amazon Sparks"
	SKILL: "Amazon Poison II"
	SKILL: "Amazon Volley"
	SKILL: "Amazon FlipKick"
	SKILL: "Amazon Poison I"

	// innate skills
	SKILL: "Amazon Evade II"

	// other skills
	SKILL: "Amazon Daze"
	SKILL: "Amazon AirAffinity I"
	SKILL: "Amazon EarthAffinity I"
	SKILL: "Amazon FireAffinity I"
	SKILL: "Amazon WaterAffinity I"
	SKILL: "Amazon Combo I"
	SKILL: "Amazon Slow"
	SKILL: "Amazon AirAffinity II"
	SKILL: "Amazon EarthAffinity II"
	SKILL: "Amazon FireAffinity II"
	SKILL: "Amazon WaterAffinity II"
	SKILL: "Amazon Combo II"
	SKILL: "Amazon Flirt"
	SKILL: "Amazon AirAffinity III"
	SKILL: "Amazon EarthAffinity III"
	SKILL: "Amazon FireAffinity III"
	SKILL: "Amazon WaterAffinity III"
	SKILL: "Amazon ColdShoulder"
	SKILL: "Amazon Combo III"
	SKILL: "Amazon Cover"
	SKILL: "Amazon Wink"
	SKILL: "Amazon Beguile"
	SKILL: "Amazon Blind"
	SKILL: "Amazon Combo IV"
	SKILL: "Amazon AirAffinity IV"
	SKILL: "Amazon EarthAffinity IV"
	SKILL: "Amazon FireAffinity IV"
	SKILL: "Amazon WaterAffinity IV"
	SKILL: "Amazon Charm"
	SKILL: "Amazon HellGate"


CREATEUNIT:		"Archer1", "Archer"		// Name, class
	LEVEL:		20
	EXPERIENCE:	0
	JOBPOINTS:	313

	//            	CON, PWR, ACC, DEF, INT, MOVE
	CORESTATSCOMP2:	 68,  72,  98, 104, 102, 102

					//	weapon,	armor,	shield,	helmet,	accessory
	ITEMSCOMP:			"Air Black Bow", "", "", "", ""

	// defense skills
	SKILL: "Archer Evade"

	// basic skills
	SKILL: "Archer Attack"
	SKILL: "Archer Rapidshot I"
	SKILL: "Archer BowAttack"
	SKILL: "Archer ExplodingArrow"
	SKILL: "Archer LongShot I"
	SKILL: "Archer JoltArrow"
	SKILL: "Archer PointBlankCantMiss"
	SKILL: "Archer LongShot II"
	SKILL: "Archer PoisonArrow"
	SKILL: "Archer IndirectFire"
	SKILL: "Archer PointBlankPowered"
	SKILL: "Archer Spray"
	SKILL: "Archer LongShot III"
	SKILL: "Archer LongShot IV"
	SKILL: "Archer Spray II"

	// innate skills

	// other skills
	SKILL: "Archer AirAffinity I"
	SKILL: "Archer EarthAffinity I"
	SKILL: "Archer FireAffinity I"
	SKILL: "Archer WaterAffinity I"
	SKILL: "Archer Combo I"
	SKILL: "Archer AirAffinity II"
	SKILL: "Archer EarthAffinity II"
	SKILL: "Archer FireAffinity II"
	SKILL: "Archer WaterAffinity II"
	SKILL: "Archer WhistlingArrow"
	SKILL: "Archer Combo II"
	SKILL: "Archer AirAffinity III"
	SKILL: "Archer EarthAffinity III"
	SKILL: "Archer FireAffinity III"
	SKILL: "Archer WaterAffinity III"
	SKILL: "Archer Combo III"
	SKILL: "Archer Cover"
	SKILL: "Archer Combo IV"
	SKILL: "Archer AirAffinity IV"
	SKILL: "Archer EarthAffinity IV"
	SKILL: "Archer FireAffinity IV"
	SKILL: "Archer WaterAffinity IV"
	SKILL: "Archer HellGate"


CREATEUNIT:		"ArcherF1", "ArcherF"		// Name, class
	LEVEL:		20
	EXPERIENCE:	0
	JOBPOINTS:	313

	//            	CON, PWR, ACC, DEF, INT, MOVE
	CORESTATSCOMP2:	 68,  72,  98, 104, 102, 102

					//	weapon,	armor,	shield,	helmet,	accessory
	ITEMSCOMP:			"Air Black Bow", "", "", "", ""

	// defense skills
	SKILL: "Archer Evade"

	// basic skills
	SKILL: "Archer Attack"
	SKILL: "Archer Rapidshot I"
	SKILL: "Archer BowAttack"
	SKILL: "Archer ExplodingArrow"
	SKILL: "Archer LongShot I"
	SKILL: "Archer JoltArrow"
	SKILL: "Archer PointBlankCantMiss"
	SKILL: "Archer LongShot II"
	SKILL: "Archer PoisonArrow"
	SKILL: "Archer IndirectFire"
	SKILL: "Archer PointBlankPowered"
	SKILL: "Archer Spray"
	SKILL: "Archer LongShot III"
	SKILL: "Archer LongShot IV"
	SKILL: "Archer Spray II"

	// innate skills

	// other skills
	SKILL: "Archer AirAffinity I"
	SKILL: "Archer EarthAffinity I"
	SKILL: "Archer FireAffinity I"
	SKILL: "Archer WaterAffinity I"
	SKILL: "Archer Combo I"
	SKILL: "Archer AirAffinity II"
	SKILL: "Archer EarthAffinity II"
	SKILL: "Archer FireAffinity II"
	SKILL: "Archer WaterAffinity II"
	SKILL: "Archer WhistlingArrow"
	SKILL: "Archer Combo II"
	SKILL: "Archer AirAffinity III"
	SKILL: "Archer EarthAffinity III"
	SKILL: "Archer FireAffinity III"
	SKILL: "Archer WaterAffinity III"
	SKILL: "Archer Combo III"
	SKILL: "Archer Cover"
	SKILL: "Archer Combo IV"
	SKILL: "Archer AirAffinity IV"
	SKILL: "Archer EarthAffinity IV"
	SKILL: "Archer FireAffinity IV"
	SKILL: "Archer WaterAffinity IV"
	SKILL: "Archer HellGate"


CREATEUNIT:		"BanditA1", "BanditA"		// Name, class
	LEVEL:		20
	EXPERIENCE:	0
	JOBPOINTS:	315

	//            	CON, PWR, ACC, DEF, INT, MOVE
	CORESTATSCOMP2:	 68,  72,  98, 104, 102, 102

					//	weapon,	armor,	shield,	helmet,	accessory
	ITEMSCOMP:			"Air Test Sword Light", "", "Air Test Shield Medium", "", ""

	// defense skills
	SKILL: "Bandit Evade"

	// basic skills
	SKILL: "Bandit Attack"
	SKILL: "Bandit Run I"
	SKILL: "Bandit Trip"
	SKILL: "Bandit PierceDefense"
	SKILL: "Bandit Run II"
	SKILL: "Bandit VigorTheft"
	SKILL: "Bandit Slice"

	// innate skills
	SKILL: "Bandit Courage"
	SKILL: "Bandit Backstab"
	SKILL: "Bandit Evade II"
	SKILL: "Bandit Riposte"
	SKILL: "Bandit Evade III"
	SKILL: "Bandit Awareness"

	// other skills
	SKILL: "Bandit Shield"
	SKILL: "Bandit Incapacitate I"
	SKILL: "Bandit AirAffinity I"
	SKILL: "Bandit EarthAffinity I"
	SKILL: "Bandit FireAffinity I"
	SKILL: "Bandit WaterAffinity I"
	SKILL: "Bandit Combo I"
	SKILL: "Bandit AirAffinity II"
	SKILL: "Bandit EarthAffinity II"
	SKILL: "Bandit FireAffinity II"
	SKILL: "Bandit WaterAffinity II"
	SKILL: "Bandit Combo II"
	SKILL: "Bandit Turtle I"
	SKILL: "Bandit AirAffinity III"
	SKILL: "Bandit EarthAffinity III"
	SKILL: "Bandit FireAffinity III"
	SKILL: "Bandit WaterAffinity III"
	SKILL: "Bandit Combo III"
	SKILL: "Bandit RiposteSub"
	SKILL: "Bandit Combo IV"
	SKILL: "Bandit AirAffinity IV"
	SKILL: "Bandit EarthAffinity IV"
	SKILL: "Bandit FireAffinity IV"
	SKILL: "Bandit Incapacitate II"
	SKILL: "Bandit WaterAffinity IV"
	SKILL: "Bandit HellGate"


CREATEUNIT:		"BanditAF1", "BanditAF"		// Name, class
	LEVEL:		20
	EXPERIENCE:	0
	JOBPOINTS:	315

	//            	CON, PWR, ACC, DEF, INT, MOVE
	CORESTATSCOMP2:	 68,  72,  98, 104, 102, 102

					//	weapon,	armor,	shield,	helmet,	accessory
	ITEMSCOMP:			"Air Test Sword Light", "", "Air Test Shield Medium", "", ""

	// defense skills
	SKILL: "Bandit Evade"

	// basic skills
	SKILL: "Bandit Attack"
	SKILL: "Bandit Run I"
	SKILL: "Bandit Trip"
	SKILL: "Bandit PierceDefense"
	SKILL: "Bandit Run II"
	SKILL: "Bandit VigorTheft"
	SKILL: "Bandit Slice"

	// innate skills
	SKILL: "Bandit Courage"
	SKILL: "Bandit Backstab"
	SKILL: "Bandit Evade II"
	SKILL: "Bandit Riposte"
	SKILL: "Bandit Evade III"
	SKILL: "Bandit Awareness"

	// other skills
	SKILL: "Bandit Shield"
	SKILL: "Bandit Incapacitate I"
	SKILL: "Bandit AirAffinity I"
	SKILL: "Bandit EarthAffinity I"
	SKILL: "Bandit FireAffinity I"
	SKILL: "Bandit WaterAffinity I"
	SKILL: "Bandit Combo I"
	SKILL: "Bandit AirAffinity II"
	SKILL: "Bandit EarthAffinity II"
	SKILL: "Bandit FireAffinity II"
	SKILL: "Bandit WaterAffinity II"
	SKILL: "Bandit Combo II"
	SKILL: "Bandit Turtle I"
	SKILL: "Bandit AirAffinity III"
	SKILL: "Bandit EarthAffinity III"
	SKILL: "Bandit FireAffinity III"
	SKILL: "Bandit WaterAffinity III"
	SKILL: "Bandit Combo III"
	SKILL: "Bandit RiposteSub"
	SKILL: "Bandit Combo IV"
	SKILL: "Bandit AirAffinity IV"
	SKILL: "Bandit EarthAffinity IV"
	SKILL: "Bandit FireAffinity IV"
	SKILL: "Bandit Incapacitate II"
	SKILL: "Bandit WaterAffinity IV"
	SKILL: "Bandit HellGate"


CREATEUNIT:		"BanditB1", "BanditB"		// Name, class
	LEVEL:		20
	EXPERIENCE:	0
	JOBPOINTS:	315

	//            	CON, PWR, ACC, DEF, INT, MOVE
	CORESTATSCOMP2:	 68,  72,  98, 104, 102, 102

					//	weapon,	armor,	shield,	helmet,	accessory
	ITEMSCOMP:			"Air Test Sword Light", "", "Air Test Shield Medium", "", ""

	// defense skills
	SKILL: "Bandit Evade"

	// basic skills
	SKILL: "Bandit Attack"
	SKILL: "Bandit Run I"
	SKILL: "Bandit Trip"
	SKILL: "Bandit PierceDefense"
	SKILL: "Bandit Run II"
	SKILL: "Bandit VigorTheft"
	SKILL: "Bandit Slice"

	// innate skills
	SKILL: "Bandit Courage"
	SKILL: "Bandit Backstab"
	SKILL: "Bandit Evade II"
	SKILL: "Bandit Riposte"
	SKILL: "Bandit Evade III"
	SKILL: "Bandit Awareness"

	// other skills
	SKILL: "Bandit Shield"
	SKILL: "Bandit Incapacitate I"
	SKILL: "Bandit AirAffinity I"
	SKILL: "Bandit EarthAffinity I"
	SKILL: "Bandit FireAffinity I"
	SKILL: "Bandit WaterAffinity I"
	SKILL: "Bandit Combo I"
	SKILL: "Bandit AirAffinity II"
	SKILL: "Bandit EarthAffinity II"
	SKILL: "Bandit FireAffinity II"
	SKILL: "Bandit WaterAffinity II"
	SKILL: "Bandit Combo II"
	SKILL: "Bandit Turtle I"
	SKILL: "Bandit AirAffinity III"
	SKILL: "Bandit EarthAffinity III"
	SKILL: "Bandit FireAffinity III"
	SKILL: "Bandit WaterAffinity III"
	SKILL: "Bandit Combo III"
	SKILL: "Bandit RiposteSub"
	SKILL: "Bandit Combo IV"
	SKILL: "Bandit AirAffinity IV"
	SKILL: "Bandit EarthAffinity IV"
	SKILL: "Bandit FireAffinity IV"
	SKILL: "Bandit Incapacitate II"
	SKILL: "Bandit WaterAffinity IV"
	SKILL: "Bandit HellGate"


CREATEUNIT:		"Barbarian1", "Barbarian"		// Name, class
	LEVEL:		20
	EXPERIENCE:	0
	JOBPOINTS:	345

	//            	CON, PWR, ACC, DEF, INT, MOVE
	CORESTATSCOMP2:	 68,  72,  98, 104, 102, 102

					//	weapon,	armor,	shield,	helmet,	accessory
	ITEMSCOMP:			"Air Test TwoHanded", "", "", "", ""

	// defense skills
	SKILL: "Barbarian Block"
	SKILL: "Wolf Evade"
	SKILL: "Bear Evade"

	// basic skills
	SKILL: "Barbarian Attack"
	SKILL: "Wolf Attack"
	SKILL: "Bear Attack"
	SKILL: "Bear Bite"
	SKILL: "Barbarian Run I"
	SKILL: "Wolf Nip"
	SKILL: "WolfGreater TargetLeg"
	SKILL: "Wolf TearThroat"
	SKILL: "Barbarian DestroyHelm"
	SKILL: "Barbarian CripplingBlow"
	SKILL: "Barbarian BreakDefense"
	SKILL: "Barbarian DestroyShield"
	SKILL: "Barbarian TargetLeg"

	// innate skills
	SKILL: "WolfGreater Courage"
	SKILL: "Wolf PackMentality I"
	SKILL: "Barbarian TotemoftheBear"
	SKILL: "Wolf Riposte"
	SKILL: "Barbarian TotemoftheFalcon"

	// other skills
	SKILL: "Barbarian WolfForm I"
	SKILL: "Wolf ShiftReturn"
	SKILL: "Barbarian AirAffinity I"
	SKILL: "Barbarian EarthAffinity I"
	SKILL: "Barbarian FireAffinity I"
	SKILL: "Barbarian WaterAffinity I"
	SKILL: "Barbarian Combo I"
	SKILL: "Barbarian Defend"
	SKILL: "Barbarian BearForm I"
	SKILL: "Bear ShiftReturn"
	SKILL: "Barbarian AirAffinity II"
	SKILL: "Barbarian EarthAffinity II"
	SKILL: "Barbarian FireAffinity II"
	SKILL: "Barbarian WaterAffinity II"
	SKILL: "Barbarian Combo II"
	SKILL: "Barbarian WolfForm II"
	SKILL: "WolfGreater LupusCall I"
	SKILL: "Barbarian AirAffinity III"
	SKILL: "Barbarian BearForm II"
	SKILL: "Barbarian EarthAffinity III"
	SKILL: "Barbarian FireAffinity III"
	SKILL: "Barbarian WaterAffinity III"
	SKILL: "Barbarian Combo III"
	SKILL: "Barbarian WolfForm III"
	SKILL: "Wolf Snarl I"
	SKILL: "Wolf Turtle I"
	SKILL: "Wolf RiposteSub"
	SKILL: "Barbarian BearForm III"
	SKILL: "Barbarian Combo IV"
	SKILL: "Barbarian AirAffinity IV"
	SKILL: "Barbarian EarthAffinity IV"
	SKILL: "Barbarian FireAffinity IV"
	SKILL: "Barbarian WaterAffinity IV"
	SKILL: "Barbarian HellGate"

CREATEUNIT:		"BarbarianF1", "BarbarianF"		// Name, class
	LEVEL:		20
	EXPERIENCE:	0
	JOBPOINTS:	345

	//            	CON, PWR, ACC, DEF, INT, MOVE
	CORESTATSCOMP2:	 68,  72,  98, 104, 102, 102

					//	weapon,	armor,	shield,	helmet,	accessory
	ITEMSCOMP:			"Air Test TwoHanded", "", "", "", ""

	// defense skills
	SKILL: "Barbarian Block"
	SKILL: "Wolf Evade"
	SKILL: "Bear Evade"

	// basic skills
	SKILL: "Barbarian Attack"
	SKILL: "Wolf Attack"
	SKILL: "Bear Attack"
	SKILL: "Bear Bite"
	SKILL: "Barbarian Run I"
	SKILL: "Wolf Nip"
	SKILL: "WolfGreater TargetLeg"
	SKILL: "Wolf TearThroat"
	SKILL: "Barbarian DestroyHelm"
	SKILL: "Barbarian CripplingBlow"
	SKILL: "Barbarian BreakDefense"
	SKILL: "Barbarian DestroyShield"
	SKILL: "Barbarian TargetLeg"

	// innate skills
	SKILL: "WolfGreater Courage"
	SKILL: "Wolf PackMentality I"
	SKILL: "Barbarian TotemoftheBear"
	SKILL: "Wolf Riposte"
	SKILL: "Barbarian TotemoftheFalcon"

	// other skills
	SKILL: "Barbarian WolfForm I"
	SKILL: "Wolf ShiftReturn"
	SKILL: "Barbarian AirAffinity I"
	SKILL: "Barbarian EarthAffinity I"
	SKILL: "Barbarian FireAffinity I"
	SKILL: "Barbarian WaterAffinity I"
	SKILL: "Barbarian Combo I"
	SKILL: "Barbarian Defend"
	SKILL: "Barbarian BearForm I"
	SKILL: "Bear ShiftReturn"
	SKILL: "Barbarian AirAffinity II"
	SKILL: "Barbarian EarthAffinity II"
	SKILL: "Barbarian FireAffinity II"
	SKILL: "Barbarian WaterAffinity II"
	SKILL: "Barbarian Combo II"
	SKILL: "Barbarian WolfForm II"
	SKILL: "WolfGreater LupusCall I"
	SKILL: "Barbarian AirAffinity III"
	SKILL: "Barbarian BearForm II"
	SKILL: "Barbarian EarthAffinity III"
	SKILL: "Barbarian FireAffinity III"
	SKILL: "Barbarian WaterAffinity III"
	SKILL: "Barbarian Combo III"
	SKILL: "Barbarian WolfForm III"
	SKILL: "Wolf Snarl I"
	SKILL: "Wolf Turtle I"
	SKILL: "Wolf RiposteSub"
	SKILL: "Barbarian BearForm III"
	SKILL: "Barbarian Combo IV"
	SKILL: "Barbarian AirAffinity IV"
	SKILL: "Barbarian EarthAffinity IV"
	SKILL: "Barbarian FireAffinity IV"
	SKILL: "Barbarian WaterAffinity IV"
	SKILL: "Barbarian HellGate"

CREATEUNIT:		"Bear1", "Bear"		// Name, class
	LEVEL:		20
	EXPERIENCE:	0
	JOBPOINTS:	547

	//            	CON, PWR, ACC, DEF, INT, MOVE
	CORESTATSCOMP2:	 68,  72,  98, 104, 102, 102

					//	weapon,	armor,	shield,	helmet,	accessory
	ITEMSCOMP:			"", "", "", "", ""

	// defense skills
	SKILL: "Bear Evade"

	// basic skills
	SKILL: "Bear Attack"
	SKILL: "Bear Bite"
	SKILL: "Bear Paw I"
	SKILL: "Bear Attack II"
	SKILL: "Bear Hug"
	SKILL: "Bear Paw II"
	SKILL: "Bear Hug II"
	SKILL: "Bear RakingAttack"
	SKILL: "Bear Bulldoze II"
	SKILL: "Bear Attack III"

	// innate skills
	SKILL: "Bear WintersFat"
	SKILL: "Bear RagingBear"

	// other skills
	SKILL: "Bear ShiftReturn"
	SKILL: "Bear Bulldoze I"
	SKILL: "Bear EarthAffinity I"
	SKILL: "Bear Combo I"
	SKILL: "Bear EarthAffinity II"
	SKILL: "Bear Combo II"
	SKILL: "Bear Turtle I"
	SKILL: "Bear Charge"
	SKILL: "Bear EarthAffinity III"
	SKILL: "Bear Combo III"
	SKILL: "Bear Hibernation"
	SKILL: "Bear RagingBearSub"
	SKILL: "Bear Combo IV"
	SKILL: "Bear EarthAffinity IV"
	SKILL: "Bear HellGate"


CREATEUNIT:		"BearGreater1", "BearGreater"		// Name, class
	LEVEL:		20
	EXPERIENCE:	0
	JOBPOINTS:	731

	//            	CON, PWR, ACC, DEF, INT, MOVE
	CORESTATSCOMP2:	 68,  72,  98, 104, 102, 102

					//	weapon,	armor,	shield,	helmet,	accessory
	ITEMSCOMP:			"", "", "", "", ""

	// defense skills
	SKILL: "BearGreater Evade"

	// basic skills
	SKILL: "BearGreater Attack"
	SKILL: "BearGreater Bite"
	SKILL: "BearGreater BearPaw I"
	SKILL: "BearGreater BearPaw II"
	SKILL: "BearGreater GreaterAttack II"
	SKILL: "BearGreater RakingAttack"
	SKILL: "BearGreater GreaterAttack III"

	// innate skills
	SKILL: "BearGreater ThickSkull"
	SKILL: "BearGreater BackAtcha"

	// other skills
	SKILL: "BearGreater EarthAffinity I"
	SKILL: "BearGreater Combo I"
	SKILL: "BearGreater Combo II"
	SKILL: "BearGreater Turtle I"
	SKILL: "BearGreater Combo III"
	SKILL: "BearGreater Hibernation"
	SKILL: "BearGreater Combo IV"

CREATEUNIT:		"Berserker1", "Berserker"		// Name, class
	LEVEL:		20
	EXPERIENCE:	0
	JOBPOINTS:	281

	//            	CON, PWR, ACC, DEF, INT, MOVE
	CORESTATSCOMP2:	 68,  72,  98, 104, 102, 102

					//	weapon,	armor,	shield,	helmet,	accessory
	ITEMSCOMP:			"Air Test Sword Light", "", "", "", ""

	// defense skills
	SKILL: "Berserker Evade"

	// basic skills
	SKILL: "Berserker Attack"
	SKILL: "Berserker TargetLeg"
	SKILL: "Berserker AxeThrow"
	SKILL: "Berserker MadRage"
	SKILL: "Berserker DestroyHelm"
	SKILL: "Berserker GougingFury"
	SKILL: "Berserker DestroyShield"
	SKILL: "Berserker ComboChain III"

	// innate skills
	SKILL: "Berserker Adrenaline"
	SKILL: "Berserker Riposte"
	SKILL: "Berserker IndomitableWill"

	// other skills
	SKILL: "Berserker ShiftReturn"
	SKILL: "Berserker Howl I"
	SKILL: "Berserker AirAffinity I"
	SKILL: "Berserker EarthAffinity I"
	SKILL: "Berserker FireAffinity I"
	SKILL: "Berserker WaterAffinity I"
	SKILL: "Berserker Combo I"
	SKILL: "Berserker Rage I"
	SKILL: "Berserker Howl II"
	SKILL: "Berserker AirAffinity II"
	SKILL: "Berserker EarthAffinity II"
	SKILL: "Berserker FireAffinity II"
	SKILL: "Berserker WaterAffinity II"
	SKILL: "Berserker Combo II"
	SKILL: "Berserker Howl III"
	SKILL: "Berserker Turtle I"
	SKILL: "Berserker AirAffinity III"
	SKILL: "Berserker EarthAffinity III"
	SKILL: "Berserker FireAffinity III"
	SKILL: "Berserker Rage II"
	SKILL: "Berserker WaterAffinity III"
	SKILL: "Berserker Combo III"
	SKILL: "Berserker RiposteSub"
	SKILL: "Berserker Howl IV"
	SKILL: "Berserker Combo IV"
	SKILL: "Berserker AirAffinity IV"
	SKILL: "Berserker EarthAffinity IV"
	SKILL: "Berserker FireAffinity IV"
	SKILL: "Berserker Rage III"
	SKILL: "Berserker WaterAffinity IV"
	SKILL: "Berserker HellGate"


CREATEUNIT:		"BerserkerF1", "BerserkerF"		// Name, class
	LEVEL:		20
	EXPERIENCE:	0
	JOBPOINTS:	281

	//            	CON, PWR, ACC, DEF, INT, MOVE
	CORESTATSCOMP2:	 68,  72,  98, 104, 102, 102

					//	weapon,	armor,	shield,	helmet,	accessory
	ITEMSCOMP:			"Air Test Sword Light", "", "", "", ""

	// defense skills
	SKILL: "Berserker Evade"

	// basic skills
	SKILL: "Berserker Attack"
	SKILL: "Berserker TargetLeg"
	SKILL: "Berserker AxeThrow"
	SKILL: "Berserker MadRage"
	SKILL: "Berserker DestroyHelm"
	SKILL: "Berserker GougingFury"
	SKILL: "Berserker DestroyShield"
	SKILL: "Berserker ComboChain III"

	// innate skills
	SKILL: "Berserker Adrenaline"
	SKILL: "Berserker Riposte"
	SKILL: "Berserker IndomitableWill"

	// other skills
	SKILL: "Berserker ShiftReturn"
	SKILL: "Berserker Howl I"
	SKILL: "Berserker AirAffinity I"
	SKILL: "Berserker EarthAffinity I"
	SKILL: "Berserker FireAffinity I"
	SKILL: "Berserker WaterAffinity I"
