Easiest Location (for top items),Item,Type,Subtype,Flavor,Power,ACC,DEF,INI,Elem.,Aff.,Skill,Skill,Min LV,Rarity,Cost,Region,Region,Region,Region,Attribute,Attribute,Attribute,Attribute,Item
L:Pirgos Ranged League (x2),Feathered Pike,Weapon,Javelin,Peltast,60,,-10,,Air ,15,Bleeding,,19,Unique,55404,Imperia,,,,Classspecific,,,,Air Feathered Pike
L:PRO To The Wolves,Spiked Helm,Helmet,HelmetD,Barbarian,95,-5,4,,Air ,16,,,19,Unique,10640,Nordagh,,,,Classspecific,,,,Air Spiked Helm
L:Rywigo Bu,Archer's Crown,Helmet,HelmetC,Eiji,90,-5,4,,Air ,18,,,18,Unique,10656,Steppes,,,,Classspecific,,,,Air Archer's Crown
L:Rywigo Bu,Sniper's Bow,Weapon,Bow,Archer,60,5,-10,,,,RangeUP,Death,20,Unique,79200,Steppes,,,,Animating,Classspecific,,,Sniper's Bow
L:Storm; D:Pua Lv19+ (HG summoner),Crown of Air,Helmet,HelmetB,Arcane,100,-5,4,,Air ,16,MoveUP,,19,Very Rare,17936,Expanse,,,,,,,,Air Crown of Air
NONEXISTANT?,Arcane Sash,Accessory,Sash,plain,0,,,,,,MagicStrengthUP,,1,Infrequent,6048,Expanse,,,,,,,,Arcane Sash
NONEXISTANT?,Sun Wrap,Accessory,Sash,plain,0,,,,,,HPUP,,1,Infrequent,3024,Expanse,,,,,,,,Sun Wrap
NONEXISTANT?,Royal Garb,Armor,Armor,Dervish,66,,6,-12,Air ,12,CrowdUP,,17,Unique,189244,Expanse,,,,Classspecific,,,,Air Royal Garb
NONEXISTANT?,Royal Garb,Armor,Armor,Dervish,66,,6,-12,Earth ,12,CrowdUP,,17,Unique,189244,Expanse,,,,Classspecific,,,,Earth Royal Garb
NONEXISTANT?,Robe of Rebirth,Armor,Armor,Summoner,70,,6,-12,Air ,20,AutoReviveHalf,,18,Unique,235224,Expanse,,,,Classspecific,,,,Air Robe of Rebirth
NONEXISTANT?,Robe of Rebirth,Armor,Armor,Summoner,70,,6,-12,Earth ,20,AutoReviveHalf,,18,Unique,235224,Expanse,,,,Classspecific,,,,Earth Robe of Rebirth
NONEXISTANT?,Ramshead Bow,Weapon,Bow,Eiji,60,,-10,,Earth ,0,,,20,Unique,14400,Steppes,,,,Animating,Classspecific,,,Earth Ramshead Bow
NONEXISTANT?,Ramshead Bow,Weapon,Bow,Eiji,60,,-10,,Fire ,0,,,20,Unique,14400,Steppes,,,,Animating,Classspecific,,,Fire Ramshead Bow
NONEXISTANT?,Ramshead Bow,Weapon,Bow,Eiji,60,,-10,,Water ,0,,,20,Unique,14400,Steppes,,,,Animating,Classspecific,,,Water Ramshead Bow
S:2nd Region,Digladio,Shield,Shield,Heavy,106,-2,6,,Air ,8,DamageReturnMedium,,7,Infrequent,3024,Imperia,,,,,,,,Air Digladio
S:2nd Region,Digladio,Shield,Shield,Heavy,106,-2,6,,Earth ,8,DamageReturnMedium,,7,Infrequent,3024,Imperia,,,,,,,,Earth Digladio
S:2nd Region,Digladio,Shield,Shield,Heavy,106,-2,6,,Fire ,8,DamageReturnMedium,,7,Infrequent,3024,Imperia,,,,,,,,Fire Digladio
S:2nd Region,Digladio,Shield,Shield,Heavy,106,-2,6,,Water ,8,DamageReturnMedium,,7,Infrequent,3024,Imperia,,,,,,,,Water Digladio
S:2nd Region,Shank,Weapon,Sword,Bandit,22,9,-5,,,,DeathFromBehind,,8,Unique,19008,Expanse,Imperia,Nordagh,Steppes,Classspecific,,,,Shank
S:Akar An,Dyed Cotton Toga,Armor,Armor,Arcane,46,,5,-10,Water ,18,BeastEvade,,12,Infrequent,21120,Imperia,,,,,,,,Water Dyed Cotton Toga
S:Akar An,Amazonian Headband,Helmet,HelmetA,Amazon,60,-4,3,,Air ,18,,,12,Unique,7104,Imperia,,,,Tracked,Classspecific,,,Air Amazonian Headband
S:Akar An Pro,Tekuja Axe,Weapon,Axe,TwoHanded,84,10,-10,,Air ,16,,,20,Very Rare,57600,Expanse,,,,,,,,Air Tekuja Axe
S:Akar An Pro,Tekuja Axe,Weapon,Axe,TwoHanded,84,10,-10,,Earth ,16,,,20,Very Rare,57600,Expanse,,,,,,,,Earth Tekuja Axe
S:Akar An Pro,Tekuja Hammer,Weapon,Hammer,TwoHanded,92,,-10,,Air ,16,,,20,Very Rare,54000,Expanse,,,,,,,,Air Tekuja Hammer
S:Akar An Pro,Tekuja Hammer,Weapon,Hammer,TwoHanded,92,,-10,,Earth ,16,,,20,Very Rare,54000,Expanse,,,,,,,,Earth Tekuja Hammer
S:Akar An Pro,Tawuus,Weapon,Spear,Heavy,76,8,-10,,Air ,8,,,20,Very Rare,32400,Expanse,,,,,,,,Air Tawuus
S:Akar An Pro,Tawuus,Weapon,Spear,Heavy,76,8,-10,,Earth ,8,,,20,Very Rare,32400,Expanse,,,,,,,,Earth Tawuus
S:Akar An Pro,Tekuja Sword,Weapon,Sword,TwoHanded,76,15,-10,,Air ,16,,,20,Very Rare,48600,Expanse,,,,,,,,Air Tekuja Sword
S:Akar An Pro,Tekuja Sword,Weapon,Sword,TwoHanded,76,15,-10,,Earth ,16,,,20,Very Rare,48600,Expanse,,,,,,,,Earth Tekuja Sword
"S:Akar An, Pro Yuset",Horned Shield,Shield,Shield,Heavy,194,-3,10,,Earth ,4,DamageReturnMedium,,13,Frequent,5408,Steppes,,,,,,,,Earth Horned Shield
S:Altahrun,Dyed Cotton Toga,Armor,Armor,Arcane,46,,5,-10,Air ,18,BeastEvade,,12,Infrequent,21120,Imperia,,,,,,,,Air Dyed Cotton Toga
S:Altahrun,Dyed Cotton Toga,Armor,Armor,Arcane,46,,5,-10,Fire ,18,BeastEvade,,12,Infrequent,21120,Imperia,,,,,,,,Fire Dyed Cotton Toga
S:Altahrun,Horned Shield,Shield,Shield,Heavy,194,-3,10,,Air ,4,DamageReturnMedium,,13,Frequent,5408,Steppes,,,,,,,,Air Horned Shield
S:Altahrun,Horned Shield,Shield,Shield,Heavy,194,-3,10,,Fire ,4,DamageReturnMedium,,13,Frequent,5408,Steppes,,,,,,,,Fire Horned Shield
S:Altahrun,Spiked Round Shield,Shield,Shield,Medium,91,-2,7,,Air ,4,DamageReturnLight,,8,Frequent,1600,Steppes,,,,,,,,Air Spiked Round Shield
S:Altahrun,Spiked Round Shield,Shield,Shield,Medium,91,-2,7,,Fire ,4,DamageReturnLight,,8,Frequent,1600,Steppes,,,,,,,,Fire Spiked Round Shield
"S:Altahrun, Saraa Izel",Dark Interment Robes,Armor,Armor,UndeadCaster,50,5,5,-10,Dark ,20,,,13,Unique,125840,Expanse,,,,Classspecific,,,,Dark Interment Robes
"S:Altahrun, Ursula: Cro Beska & Syrna",Infula,Helmet,HelmetB,Arcane,40,-3,2,,,,ConfuseBlind,,8,Common,4992,Expanse,,,,,,,,Infula
"S:Altahrun, Yuset",Diamond Shield,Shield,Shield,Heavy,165,-3,9,,,,BlindCounter,,11,Very Rare,4400,Expanse,,,,,,,,Diamond Shield
S:Caltha,Braided Metal Bikini,Armor,Armor,Amazon,78,,6,-12,Air ,16,,,18,Unique,130680,Steppes,,,,Classspecific,,,,Air Braided Metal Bikini
S:Caltha,Mage's Robe,Armor,Armor,Channeler,70,,6,-12,Air ,16,MagicUP,,18,Unique,217800,Imperia,,,,Classspecific,,,,Air Mage's Robe
S:Caltha,Mage's Robe,Armor,Armor,Channeler,70,,6,-12,Earth ,16,MagicUP,,18,Unique,217800,Imperia,,,,Classspecific,,,,Earth Mage's Robe
S:Caltha,Mage's Robe,Armor,Armor,Channeler,70,,6,-12,Fire ,16,MagicUP,,18,Unique,217800,Imperia,,,,Classspecific,,,,Fire Mage's Robe
S:Caltha,Mage's Robe,Armor,Armor,Channeler,70,,6,-12,Water ,16,MagicUP,,18,Unique,217800,Imperia,,,,Classspecific,,,,Water Mage's Robe
S:Caltha,Bladed Guard,Armor,Armor,Light,66,,6,-12,Air ,14,DamageReturnMedium,,17,Rare,43350,Steppes,,,,,,,,Air Bladed Guard
S:Caltha,Bladed Guard,Armor,Armor,Light,66,,6,-12,Earth ,14,DamageReturnMedium,,17,Rare,43350,Steppes,,,,,,,,Earth Bladed Guard
S:Caltha,Bladed Guard,Armor,Armor,Light,66,,6,-12,Fire ,14,DamageReturnMedium,,17,Rare,43350,Steppes,,,,,,,,Fire Bladed Guard
S:Caltha,Bladed Guard,Armor,Armor,Light,66,,6,-12,Water ,14,DamageReturnMedium,,17,Rare,43350,Steppes,,,,,,,,Water Bladed Guard
S:Caltha,Spiked Guard,Armor,Armor,Light,62,,6,-12,,,DamageReturnLight,,16,Rare,29600,Steppes,,,,,,,,Spiked Guard
S:Caltha,Weapon Rig Guard,Armor,Armor,Light,70,4,6,-12,,,,,18,Rare,18900,Imperia,,,,,,,,Weapon Rig Guard
S:Caltha,Imperial Breastplate,Armor,Armor,Peltast,78,,6,-12,Air ,16,,,20,Unique,145200,Imperia,,,,Classspecific,,,,Air Imperial Breastplate
S:Caltha,Crested Campana,Helmet,Helmet,Murmillo,100,-5,4,,Fire ,10,,,20,Very Rare,10560,Imperia,,,,Classspecific,,,,Fire Crested Campana
S:Caltha,Cycloptic Corinthian,Helmet,HelmetE,Cyclops,90,-5,4,,Air ,12,,,18,Unique,8928,Imperia,,,,Classspecific,,,,Air Cycloptic Corinthian
S:Caltha,Cycloptic Corinthian,Helmet,HelmetE,Cyclops,90,-5,4,,Earth ,12,,,18,Unique,8928,Imperia,,,,Classspecific,,,,Earth Cycloptic Corinthian
S:Caltha,Cycloptic Corinthian,Helmet,HelmetE,Cyclops,90,-5,4,,Fire ,12,,,18,Unique,8928,Imperia,,,,Classspecific,,,,Fire Cycloptic Corinthian
S:Caltha,Cycloptic Corinthian,Helmet,HelmetE,Cyclops,90,-5,4,,Water ,12,,,18,Unique,8928,Imperia,,,,Classspecific,,,,Water Cycloptic Corinthian
S:Caltha,Metal Crested Gallic,Helmet,HelmetE,Military,95,-5,4,,Earth ,12,,,19,Very Rare,10640,Imperia,,,,,,,,Earth Metal Crested Gallic
S:Caltha,Imperial Tower,Shield,Shield,Centurion,267,-4,13,,Air ,16,,,18,Unique,12960,Imperia,,,,Classspecific,,,,Air Imperial Tower
S:Caltha,Imperial Tower,Shield,Shield,Centurion,267,-4,13,,Earth ,16,,,18,Unique,12960,Imperia,,,,Classspecific,,,,Earth Imperial Tower
S:Caltha,Imperial Tower,Shield,Shield,Centurion,267,-4,13,,Fire ,16,,,18,Unique,12960,Imperia,,,,Classspecific,,,,Fire Imperial Tower
S:Caltha,Imperial Tower,Shield,Shield,Centurion,267,-4,13,,Water ,16,,,18,Unique,12960,Imperia,,,,Classspecific,,,,Water Imperial Tower
S:Caltha,Jewel Rimmed Golden Tower,Shield,Shield,Heavy,238,-3,11,,,,CrowdUP,,16,Infrequent,6400,Expanse,,,,,,,,Jewel Rimmed Golden Tower
S:Caltha,Ovoid Scutum,Shield,Shield,Legionnaire,209,-5,14,,,,,,19,Unique,8816,Imperia,,,,Classspecific,,,,Ovoid Scutum
S:Caltha,Regius,Shield,Shield,Medium,177,-3,11,,,,,,16,Infrequent,1920,Imperia,,,,,,,,Regius
S:Caltha,Shisa Vika,Shield,Shield,Murmillo,223,-3,11,,Fire ,12,,,15,Unique,9600,Expanse,,,,Unbreakable,Classspecific,,,Fire Shisa Vika
S:Caltha,Elongated Arm Guard,Shield,Shield,Peltast,156,-3,11,,Air ,16,,,16,Unique,11264,Imperia,,,,Classspecific,,,,Air Elongated Arm Guard
S:Caltha,Elongated Arm Guard,Shield,Shield,Peltast,156,-3,11,,Earth ,16,,,16,Unique,11264,Imperia,,,,Classspecific,,,,Earth Elongated Arm Guard
S:Caltha,Elongated Arm Guard,Shield,Shield,Peltast,156,-3,11,,Fire ,16,,,16,Unique,11264,Imperia,,,,Classspecific,,,,Fire Elongated Arm Guard
S:Caltha,Elongated Arm Guard,Shield,Shield,Peltast,156,-3,11,,Water ,16,,,16,Unique,11264,Imperia,,,,Classspecific,,,,Water Elongated Arm Guard
S:Caltha,Cultellus,Weapon,Axe,Ogre,84,10,-10,,Earth ,12,,,20,Unique,46080,Imperia,,,,Classspecific,,,,Earth Cultellus
S:Caltha,Falarica,Weapon,Javelin,Plain,57,,-9,,Air ,16,,,18,Rare,34992,Imperia,,,,,,,,Air Falarica
S:Caltha,Falarica,Weapon,Javelin,Plain,57,,-9,,Earth ,16,,,18,Rare,34992,Imperia,,,,,,,,Earth Falarica
S:Caltha,Falarica,Weapon,Javelin,Plain,57,,-9,,Fire ,16,,,18,Rare,34992,Imperia,,,,,,,,Fire Falarica
S:Caltha,Falarica,Weapon,Javelin,Plain,57,,-9,,Water ,16,,,18,Rare,34992,Imperia,,,,,,,,Water Falarica
S:Caltha,Assegai,Weapon,Spear,Heavy,68,8,-9,,Air ,16,,,18,Rare,36936,Steppes,,,,,,,,Air Assegai
S:Caltha,Assegai,Weapon,Spear,Heavy,68,8,-9,,Earth ,16,,,18,Rare,36936,Steppes,,,,,,,,Earth Assegai
S:Caltha,Assegai,Weapon,Spear,Heavy,68,8,-9,,Fire ,16,,,18,Rare,36936,Steppes,,,,,,,,Fire Assegai
S:Caltha,Assegai,Weapon,Spear,Heavy,68,8,-9,,Water ,16,,,18,Rare,36936,Steppes,,,,,,,,Water Assegai
S:Caltha,Naginata,Weapon,Spear,Light,43,8,-9,,Air ,16,,,16,Common,16800,Steppes,,,,,,,,Air Naginata
S:Caltha,Naginata,Weapon,Spear,Light,43,8,-9,,Earth ,16,,,16,Common,16800,Steppes,,,,,,,,Earth Naginata
S:Caltha,Naginata,Weapon,Spear,Light,43,8,-9,,Fire ,16,,,16,Common,16800,Steppes,,,,,,,,Fire Naginata
S:Caltha,Naginata,Weapon,Spear,Light,43,8,-9,,Water ,16,,,16,Common,16800,Steppes,,,,,,,,Water Naginata
S:Caltha,Spetum,Weapon,Spear,Light,49,8,-9,,,,,,18,Rare,11880,Imperia,,,,,,,,Spetum
S:Caltha,Emperor's Blade,Weapon,Sword,Centurion,76,15,-10,,,,CrowdUP,,20,Unique,48600,Imperia,,,,Classspecific,,,,Emperor's Blade
S:Caltha,Harpe,Weapon,Sword,Light,54,15,-10,,Air ,18,DoublePierce,,20,Rare,39600,Imperia,,,,,,,,Air Harpe
S:Caltha,Harpe,Weapon,Sword,Light,54,15,-10,,Earth ,18,DoublePierce,,20,Rare,39600,Imperia,,,,,,,,Earth Harpe
S:Caltha,Harpe,Weapon,Sword,Light,54,15,-10,,Fire ,18,DoublePierce,,20,Rare,39600,Imperia,,,,,,,,Fire Harpe
S:Caltha,Harpe,Weapon,Sword,Light,54,15,-10,,Water ,18,DoublePierce,,20,Rare,39600,Imperia,,,,,,,,Water Harpe
S:Caltha,Blade of Tides,Weapon,Sword,Murmillo,49,15,-9,,Water ,18,bleeding,,17,Unique,58752,Imperia,,,,Classspecific,,,,Water Blade of Tides
S:Ononhaar,Full Del,Armor,Armor,Arcane,50,,5,-10,Fire ,20,DoubleFrontProtection,,13,Infrequent,23712,Steppes,,,,,,,,Fire Full Del
S:Ononhaar,Full Del,Armor,Armor,Arcane,50,,5,-10,Water ,20,DoubleFrontProtection,,13,Infrequent,23712,Steppes,,,,,,,,Water Full Del
S:Ononhaar,Wizard's Cloak,Armor,Armor,Arcane,58,,5,-10,Fire ,20,MagicUP,,15,Rare,27840,Expanse,,,,,,,,Fire Wizard's Cloak
S:Ononhaar,Wizard's Cloak,Armor,Armor,Arcane,58,,5,-10,Water ,20,MagicUP,,15,Rare,27840,Expanse,,,,,,,,Water Wizard's Cloak
S:Ononhaar,Oiled Pelt,Armor,Armor,Barbarian,49,,5,-10,Water ,8,NegatePoison,,13,Rare,144716,Expanse,,,,,,,,Water Oiled Pelt
S:Ononhaar,Horned Shield,Shield,Shield,Heavy,194,-3,10,,Water ,4,DamageReturnMedium,,13,Frequent,5408,Steppes,,,,,,,,Water Horned Shield
S:Ononhaar,Quilted Poison Shield,Shield,Shield,Heavy,223,-3,11,,Water ,10,PoisonBlock,,15,Rare,7320,Steppes,,,,,,,,Water Quilted Poison Shield
S:Ononhaar,Poison Axe,Weapon,Axe,Light,39,8,-7,,Water ,10,AddPoison,,13,Rare,28080,Steppes,,,,,,,,Water Poison Axe
S:Pro Akar An,Scarab Shell,Armor,Armor,Secutor,70,5,6,-12,Earth ,8,,,18,Unique,117612,Expanse,,,,,,,,Earth Scarab Shell
S:Pro Akar An,Sufi's Sikke,Helmet,Helmet,Dervish,100,-5,4,,Air ,16,,,20,Very Rare,12480,Expanse,,,,Unbreakable,Classspecific,,,Air Sufi's Sikke
S:Pro Akar An,Holy Miter,Helmet,HelmetB,Arcane,80,-5,4,,,,AutoReviveHalf,,16,Rare,10752,Expanse,,,,,,,,Holy Miter
S:Pro Akar An,Enforced Gallic,Helmet,HelmetE,Military,95,-5,4,,Air ,8,,,19,Rare,9120,Expanse,,,,,,,,Air Enforced Gallic
S:Pro Akar An,Enforced Gallic,Helmet,HelmetE,Military,95,-5,4,,Earth ,8,,,19,Rare,9120,Expanse,,,,,,,,Earth Enforced Gallic
S:Pro Akar An,Obsidian Tower,Shield,Shield,Heavy,282,-5,14,,Earth ,16,,,19,Rare,7296,Expanse,,,,,,,,Earth Obsidian Tower
S:Pro Akar An,Eye of the Cyclops,Shield,Shield,Light,175,-4,13,,Earth ,16,PetrifyBlock,,18,Very Rare,2484,Expanse,,,,,,,,Earth Eye of the Cyclops
S:Pro Akar An,Mirror Shield,Shield,Shield,Medium,199,-4,13,,Air ,8,BlockAccDown,,18,Infrequent,4248,Expanse,,,,,,,,Air Mirror Shield
S:Pro Akar An,Mirror Shield,Shield,Shield,Medium,199,-4,13,,Earth ,8,BlockAccDown,,18,Infrequent,4248,Expanse,,,,,,,,Earth Mirror Shield
S:Pro Akar An,Snakeskin Bow,Weapon,Bow,Plain,48,,-9,,Air ,12,AddPoison,,16,Rare,52992,Expanse,,,,Animating,,,,Air Snakeskin Bow
S:Pro Akar An,Snakeskin Bow,Weapon,Bow,Plain,48,,-9,,Earth ,12,AddPoison,,16,Rare,52992,Expanse,,,,Animating,,,,Earth Snakeskin Bow
S:Pro Akar An,Asaya,Weapon,Staff,Plain,48,15,-9,,Air ,14,MagicStrengthUP,,16,Rare,72576,Expanse,,,,,,,,Air Asaya
"S:Pro Akar An, Altahrun",Mythic Miter,Helmet,HelmetB,Arcane,85,-5,4,,Air ,6,MoveUP,,17,Rare,13056,Expanse,,,,,,,,Air Mythic Miter
"S:Pro Akar An, Wastes",Ceremonial Axe,Weapon,Axe,Light,57,10,-10,,Earth ,18,,,19,Very Rare,31920,Expanse,,,,,,,,Earth Ceremonial Axe
S:Pro Belfort,Horn Guard Helmet,Helmet,Helmet,Minotaur,100,-4,3,,,,,,15,Rare,5280,Imperia,,,,Classspecific,,,,Horn Guard Helmet
S:Pro Belfort,Crested Pondus,Helmet,HelmetF,Gladiatorial,100,-5,4,,Air ,4,,,20,Very Rare,8640,Imperia,,,,,,,,Air Crested Pondus
S:Pro Belfort,Crested Pondus,Helmet,HelmetF,Gladiatorial,100,-5,4,,Earth ,4,,,20,Very Rare,8640,Imperia,,,,,,,,Earth Crested Pondus
S:Pro Belfort,Crested Pondus,Helmet,HelmetF,Gladiatorial,100,-5,4,,Fire ,4,,,20,Very Rare,8640,Imperia,,,,,,,,Fire Crested Pondus
S:Pro Belfort,Crested Pondus,Helmet,HelmetF,Gladiatorial,100,-5,4,,Water ,4,,,20,Very Rare,8640,Imperia,,,,,,,,Water Crested Pondus
S:Pro Belfort,The Androktone,Weapon,Bow,Amazon,57,,-10,,,,DamageMale,,19,Unique,41040,Imperia,,,,Animating,Classspecific,,,The Androktone
S:Pro Belfort,Executioner's Sword,Weapon,Sword,Heavy,65,15,-9,,,,Death,,17,Infrequent,44064,Imperia,,,,,,,,Executioner's Sword
S:Pro Belfort,Razor Shard,Weapon,Sword,Secutor,43,15,-9,,,,Bleeding,,16,Unique,39744,Imperia,,,,Classspecific,,,,Razor Shard
"S:Pro Belfort, Orin, Pirgos; L:Syrna Earth vs Water",Robustus Gustos,Armor,Armor,Heavy,87,,6,-12,Earth ,18,DamageReturnHeavy,,19,Very Rare,212800,Imperia,,,,,,,,Earth Robustus Gustos
"S:Pro Belfort, Orin, Roanor; L:Mystical Zo",Petrified Bludgeon,Weapon,Club,Mongrel,63,,-10,,Earth ,50,,,20,Rare,90720,Imperia,,,,,,,,Earth Petrified Bludgeon
"S:Pro Belfort, Roanor",Shattered Thracian,Helmet,HelmetF,Mongrel,90,-5,4,,,,,,18,Unique,5472,Imperia,,,,Classspecific,,,,Shattered Thracian
"S:Pro Belfort, Roanor",Black Bow,Weapon,Bow,Plain,51,,-9,,Air ,12,SuperRange,,17,Very Rare,57528,Imperia,,,,Animating,,,,Air Black Bow
S:Pro Belfort/Orus,Magus,Weapon,Staff,Plain,54,15,-9,,Fire ,14,MagicUP,MagicDefUP,18,Infrequent,106272,Imperia,,,,,,,,Fire Magus
S:Pro Fliuch,Spiked Helm,Helmet,HelmetD,Barbarian,95,-5,4,,Water ,16,,,19,Unique,10640,Nordagh,,,,Classspecific,,,,Water Spiked Helm
S:Pro Fliuch,Gungnir,Weapon,Javelin,Gungnir,60,99,-10,,Water ,14,,,19,Unique,151438,Nordagh,,,,,,,,Water Gungnir
S:Pro Imperia/Nordagh,Barricade Shield,Shield,Shield,Gungnir,156,-3,11,,Air ,14,,,16,Unique,10752,Nordagh,,,,Classspecific,,,,Air Barricade Shield
S:Pro Imperia/Nordagh,Barricade Shield,Shield,Shield,Gungnir,156,-3,11,,Earth ,14,,,16,Unique,10752,Nordagh,,,,Classspecific,,,,Earth Barricade Shield
S:Pro Mordare,Spiked Helm,Helmet,HelmetD,Barbarian,95,-5,4,,Fire ,16,,,19,Unique,10640,Nordagh,,,,Classspecific,,,,Fire Spiked Helm
S:Pro Mordare,Gungnir,Weapon,Javelin,Gungnir,60,99,-10,,Fire ,14,,,19,Unique,151438,Nordagh,,,,,,,,Fire Gungnir
S:Pro Nordagh,Cloak of the Heavens,Armor,Armor,Arcane,66,,6,-12,Air ,22,AffinityUP,,17,Very Rare,32640,Nordagh,,,,,,,,Air Cloak of the Heavens
S:Pro Nordagh,Cloak of the Heavens,Armor,Armor,Arcane,66,,6,-12,Earth ,22,AffinityUP,,17,Very Rare,32640,Nordagh,,,,,,,,Earth Cloak of the Heavens
S:Pro Nordagh,Cloak of the Heavens,Armor,Armor,Arcane,66,,6,-12,Fire ,22,AffinityUP,,17,Very Rare,32640,Nordagh,,,,,,,,Fire Cloak of the Heavens
S:Pro Nordagh,Cloak of the Heavens,Armor,Armor,Arcane,66,,6,-12,Water ,22,AffinityUP,,17,Very Rare,32640,Nordagh,,,,,,,,Water Cloak of the Heavens
S:Pro Orin,Dragon Robe,Armor,Armor,Arcane,70,,6,-12,Fire ,24,,,18,Very Rare,24192,Steppes,,,,,,,,Fire Dragon Robe
S:Pro Orin,Dragon Hide,Armor,Armor,Barbarian,79,,6,-12,Fire ,18,,,20,Very Rare,174240,Steppes,,,,Classspecific,,,,Fire Dragon Hide
S:Pro Orin,Dragon's Cape,Armor,Armor,Medium,75,,6,-12,Fire ,16,,,19,Very Rare,82688,Nordagh,,,,Tracked,,,,Fire Dragon's Cape
S:Pro Orin,Spiked Helm,Helmet,HelmetD,Barbarian,95,-5,4,,Earth ,16,,,19,Unique,10640,Nordagh,,,,Classspecific,,,,Earth Spiked Helm
S:Pro Orin,Dragon's Claw,Shield,Shield,Light,194,-5,15,,Fire ,18,,,20,Very Rare,2080,Nordagh,,,,Tracked,,,,Fire Dragon's Claw
S:Pro Orin,Altan,Weapon,Axe,Medium,63,10,-10,,Air ,16,,,20,Very Rare,48000,Nordagh,,,,,,,,Air Altan
S:Pro Orin,Altan,Weapon,Axe,Medium,63,10,-10,,Earth ,16,,,20,Very Rare,48000,Nordagh,,,,,,,,Earth Altan
S:Pro Orin,Altan,Weapon,Axe,Medium,63,10,-10,,Fire ,16,,,20,Very Rare,48000,Nordagh,,,,,,,,Fire Altan
S:Pro Orin,Altan,Weapon,Axe,Medium,63,10,-10,,Water ,16,,,20,Very Rare,48000,Nordagh,,,,,,,,Water Altan
S:Pro Orin,Canteen,Weapon,Carafe,Satyr,57,10,-10,,Air ,19,,,19,Common,53352,Expanse,Imperia,Nordagh,Steppes,,,,,Air Canteen
