//name, class, customize info, stats, items, skills, school
NUMUNITS: 2173
"Aerusa","BanditAF","1#","StatSet0","ItemSetIA","SkillSetAffA","WildernessImperiaOutlaw"
"Aeson","Wolf","1#","StatSet1","ItemSetIU","SkillSetComb","WildernessImperiaBeast"
"Aethiolas","TitanFire","","StatSet0","","skillsetboss","Story Characters"
"Afei","Summoner","2#qstHellGateAir","StatSet1","itemsetHGAir","SummonerHGAir","qstHellGateSchoolAir"
"Aganippe","MurmilloF","2#School_BlackBlack4","StatSet0","ItemSetIE","SkillSetAffE","Riot Gyhrls"
"Agata","PeltastF","1#School_BlackYellow1","statset0","itemsetNA","skillsetaffA","Femina Formosos"
"Ageliasa","BanditAF","3#","StatSet2","ItemSetNA","SkillSetAffA","ImperiaBelfortLocalRecruits"
"Agetha","Peltast","0#School_BlackYellow2","statset0","ItemSetIF","SkillSetComb","Femina Formosos"
"Agnes","BerserkerF","1#School_RedYellow2","Statset0","ItemSetNF","skillsetcomb","Fliuch Falcons"
"Agraulos","DarkLegionnaire","0#School_YellowBlack4","StatSet0","ItemSetSD","SkillSetAffD","School of Suyhron"
"Agrias","BanditA","2#","StatSet4","ItemSetIA","SkillSetComb","ImperiaTribunal"
"Agulk","Mongrel","2#Nordagh_02","StatSet0","ItemSetIA","SkillSetAffA","Executioner"
"Agut","MongrelShaman","1#School_PurpleYellow1","StatSet0","ItemSetEW","SkillSetAffW","Spellcasters"
"Agyieus","Murmillo","3#Imperia_09","statset0","ItemSetIE","SkillSetComb","ImperiaOrusLocalRecruits"
"Ahhotpe","UndeadMeleeExpA","0#School_RedBrown5","StatSet0","ItemSetID","SkillSetAffD","Mortuus' Minions"
"Ahlea","LegionnaireF","3#Imperia_07","StatSet0","ItemSetSW","SkillSetAffW","Warriors of Fortitude"
"Ahn Yeket","Scarab","2#Bug_03","StatSet0","ItemSetEF","SkillSetAffF","Eyes of the Beast"
"Ahnqe","Wolf","","StatSet0","ItemSetSE","SkillSetAffE","NoSchool"
"Aiasus","SecutorSteF","1#School_RedPurple5","statset0","ItemSetSF","SkillSetAffF","School of Xandus"
"Aigeus","Centurion","","StatSet0","ItemSetIF","SkillSetAffF","Flabios Avengers"
"Aingoy","UndeadMeleeSteB","","StatSet1","ItemSetID","SkillSetAffD","WildernessSteppesUndead"
"Air Beast_Summoned","BeastAir","","StatSet0","ItemSetEA","skillsetSumAir","NoSchool"
"Ajax","Wolf","4#","StatSet0","ItemSetIU","SkillSetComb","WildernessImperiaBeast"
"Akhenre","Archer","0#Steppes_01","statset0","ItemSetEE","SkillSetAffE","Sandskimmers"
"Akil","Murmillo","2#","StatSet0","ItemSetEW","SkillSetAffW","ImperiaSyrnaLocalRecruits"
"Akila","BanditBF","4#","StatSet0","ItemSetEW","SkillSetAffW","WildernessExpanseOutlaw"
"Akirn","Bear","4#","StatSet1","ItemSetNU","SkillSetComb","WildernessNordaghBeast"
"Akul","Bear","","StatSet0","ItemSetNE","SkillSetAffE","eyes of the Beast"
"Al","Archer","2#Steppes_11","StatSet0","ItemSetSA","SkillSetAffA","The Plainsdwellers"
"Alagh","Amazon","0#School_YellowGreen4","StatSet0","ItemSetSU","SkillSetComb","Rywigo Arrowheads"
"Alamias","Legionnaire","1#School_BlackOrange2","StatSet0","ItemSetIW","SkillSetAffW","Altheas Vipers"
"Alangoa","Amazon","1#","StatSet0","ItemSetSF","SkillSetComb","WildernessSteppesOutlaw"
"Alastar","Satyr","2#Satyr1","StatSet0","ItemSetNA","SkillSetComb","Shepards of Sloan"
"Albin","Peltast","1#Imperia_17","StatSet0","ItemSetIE","SkillSetComb","ImperiaPirgosGallus"
"Alcihpe","PeltastF","","StatSet0","ItemSetIA","SkillSetAffA","Rangers"
"Alejo","SamniteImp","1#School_TurqRed1","StatSet0","ItemSetIF","SkillSetComb","ImperiaTrikataPergaGiants"
"Alexander","Centurion","2#Imperia_19","statset0","ItemSetIF","SkillSetComb","ImperiaBelfortLocalRecruits"
"Alexius","BanditA","3#","statset0","ItemSetIE","skillsetcomb","ImperiaSchool"
"Alf","Bear","4#","StatSet0","ItemSetNU","SkillSetComb","WildernessNordaghBeast"
"Alfhilde","DarkWolf","0#School_YellowBlack4","StatSet0","ItemSetSD","SkillSetAffD","School of Suyhron"
"Algogt","Ogre","0#School_BlueGreen5","StatSet0","ItemSetEE","SkillSetAffE","School of Osiris"
"Alina","BanditAF","2#","StatSet0","ItemSetIW","SkillSetAffW","ImperiaCroPrisoners"
"Alisher","Cat","","StatSet0","ItemSetSA","SkillSetAffA","Krakens"
"Allannah","BerserkerF","2#berserker07","statset0","ItemSetNF","skillsetcomb","Sloan Defense Brigade"
"Allec","Cyclops","","StatSet3","ItemSetIF","SkillSetAffF","ImperiaMonsterSchool"
"Alona","BanditAF","1#","StatSet0","ItemSetNE","SkillSetAffE","WildernessNordaghOutlaw"
"Alroy","Berserker","1#School_RedPurple4","StatSet0","ItemSetSA","SkillSetAffA","School of Xandus"
"Altan","Archer","1#","StatSet0","ItemSetSA","SkillSetAffA","WildernessSteppesOutlaw"
"Alxion","DarkLegionnaire","","StatSet1","ItemSetID","SkillSetComb","WildernessExpanseDark"
"Ama","BanditBF","","StatSet0","ItemSetEU","SkillSetComb","Story Characters"
"Amalgith","MongrelShaman","0#Nordagh_03","StatSet0","ItemSetNW","SkillSetAffW","Mongrel Shamen"
"Amalthea","ChannelerImp","4#Imperia_12","StatSet5","ItemSetIW","SkillSetComb","ImperiaPirgosChannelers"
"Amanana","SamniteExpF","0#School_BlackPurple4","StatSet0","ItemSetEU","SkillSetComb","Quarry Warriors"
"Amantha","Amazon","3#Steppes_13","StatSet0","ItemSetEE","SkillSetComb","ImperiaSyrnaAntonio"
"Amba","Wolf","4#","statset0","ItemsetNW","skillsetcomb","United Packs of Sloan Forest"
"Ambrosia","CenturionF","1#Imperia_19","StatSet0","ItemSetIW","SkillSetComb","ImperiaPirgosMunio"
"Ambrosius","Legionnaire","3#Imperia_06","StatSetW","ItemSetIF","SkillSetTrain","ImperiaPirgosLameticus"
"Amenti","ChannelerImp","","StatSet0","ItemSetEU","SkillSetComb","NoSchool"
"Amhosis","UndeadMeleeNorA","","StatSet0","ItemSetED","SkillSetAffD","WildernessExpanseUndead"
"Amisale","Amazon","3#Steppes_01","statset0","itemsetSE","skillsetcomb","ImperiaSchool"
"Amma","Wolf","","StatSet0","ItemSetEE","SkillSetAffE","Zhigazoo"
"Amogh","Wolf","3#","statset0","ItemSetIW","skillsetaffW","Fliuch Home Guard"
"Amor","Wolf","1#","StatSet1","ItemSetEE","SkillSetComb","WildernessImperiaWolf"
"Amphritritis","Centurion","2#Imperia_13","statset0","ItemSetIA","SkillSetComb","ImperiaBelfortLocalRecruits"
"Amunet","BanditAF","3#","StatSet0","ItemSetEA","SkillSetAffA","WildernessExpanseOutlaw"
"Amunnefret","ChannelerImp","0#School_PurpleYellow1","StatSet0","ItemSetEA","SkillSetAffA","Spellcasters"
"Ana-Marie","ChannelerImp","3#Imperia_06","StatSet0","ItemSetIE","SkillSetComb","ImperiaPirgosMunio"
"Anat","DervishF","","StatSet1","ItemSetEF","SkillSetAffF","Expanse Ringers"
"Anatola","ChannelerImp","2#Imperia_16","StatSet0","ItemSetIF","SkillSetComb","ImperiaPirgosLocalRecruits"
"Anaxo","UndeadMeleeImpB","","StatSet0","ItemSetIE","SkillSetComb","WildernessImperiaUndead"
"Andijon","Wolf","1#","StatSet0","ItemSetSE","SkillSetAffE","NoSchool"
"Andohra","Satyr","0#Satyr1","StatSet0","ItemSetNA","SkillSetAffA","Vhyn Vagrants"
"Andokides","Mongrel","0#School_YellowBlack4","StatSet0","ItemSetIA","SkillSetAffA","School of Suyhron"
"Androcles","CitizenImp","1#Imperia_02","StatSet4","itemsetIU","qstInvasion","Citizen of Imperia"
"Aneas","peltast","2#Imperia_14","statset0","ItemSetIE","skillsetcomb","ImperiaSchool"
"Anedjib","BeastDarkAirGreater","","StatSet0","ItemSetEA","skillsetgreaterair","Story Characters"
"Anger","UndeadMeleeExpB","0#qstHellGateSkeleton","StatSet1","ItemSetEU","SkillSetComb",""
"Angerona","BanditAF","2#","StatSet0","ItemSetIE","SkillSetAffE","ImperiaOrusTribunal"
"Anhay","ChannelerImp","4#School_BlackBlack4","StatSet0","ItemSetEA","SkillSetAffA","Riot Gyhrls"
"Anika","Bear","0#","statset0","itemsetNA","skillsetcomb",""
"Anilla","Wolf","4#","StatSet0","ItemSetNU","SkillSetComb","WildernessNordaghBeast"
"Ankbetneferu","ChannelerImp","2#School_BlueGreen5","StatSet0","ItemSetEF","SkillSetAffF","School of Osiris"
"Ankekh","Scarab","2#Bug_03","statset0","ItemSetEF","SkillSetAffF","Eyes of the Beast"
"Ankhef","UndeadMeleeSteB","","StatSet0","ItemSetED","SkillSetAffD","WildernessExpanseUndead"
"Anna","BanditAF","1#","StatSet0","ItemSetNE","SkillSetAffE","WildernessNordaghOutlaw"
"Annij","ArcherF","2#","StatSet2","ItemSetSE","SkillSetAffE","WildernessSteppesOutlaw"
"Anpu","UndeadCasterA","","StatSet3","ItemSetED","SkillSetComb","WildernessExpanseUndead"
"Anraoi","Gungnir","0#School_RedYellow3","statset0","itemsetNA","skillsetcomb","Fliuch Falcons"
"Ansuz","Galdr","3#","StatSet1","ItemSetNE","SkillSetAffE","Lioness"
"Antas","Wolf","1#","StatSet0","ItemSetIE","SkillSetAffE","WildernessImperiaBeast"
"Anthos","Murmillo","1#School_RedPurple4","statset0","itemsetIW","SkillSetAffW","School of Xandus"
"Anticlea","PeltastF","1#School_YellowGreen5","StatSet0","ItemSetEE","SkillSetAffE","Rywigo Arrowheads"
"Anya","BanditBF","1#","StatSet1","ItemSetNU","SkillSetComb","WildernessNordaghOutlaw"
"Aodh","Berserker","2#berserker03","statset0","ItemSetNE","skillsetaffE","Morder Tribe"
"Apemosyne","PeltastF","1#Imperia_16","statset0","ItemSetIW","skillsetcomb","ImperiaPirgosMunio"
"Aphareus","UndeadMeleeImpB","","StatSet1","ItemSetIW","SkillSetAffW",""
"Appius","Wolf","2#","StatSet0","ItemSetIU","SkillSetComb","WildernessImperiaBeast"
"Aprika","BanditBF","1#","StatSet1","ItemSetNF","SkillSetAffF","WildernessNordaghOutlaw"
"Ara","Wolf","2#","statset0","ItemsetNE","skillsetcomb","Sloan Defense Brigade"
"Arak","MongrelShaman","2#Nordagh_01","statset0","ItemsetNW","skillsetaffW","The Sylvan Ones"
"Aram","BanditA","3#","StatSet0","ItemSetEA","SkillSetAffA","WildernessExpanseOutlaw"
"Arban","ArcherF","0#qstSniper","StatSet1","itemsetSniper","SkillSetAffF","Snipers"
"Ard","Berserker","2#berserker04","statset0","ItemSetNA","skillsetaffA","Leende Tribe"
"Arete","LegionnaireF","","StatSet0","ItemSetSF","SkillSetAffF","Warriors of Fortitude"
"Arghua","ArcherF","","StatSet0","ItemSetSU","SkillSetComb","Rangers"
"Arghun","UndeadMeleeSteA","","StatSet1","ItemSetSF","SkillSetAffF",""
"Argon","Bear","3#","statset0","ItemsetNE","skillsetcomb","Uvanlig's Motley"
"Argus","DarkLegionnaire","","StatSet1","ItemSetID","SkillSetAffD","WildernessExpanseDark"
"Aria","CenturionF","1#Imperia_14","statset0","ItemSetIF","SkillSetAffF","NoSchool"
"Arigh","Ogre","2#Ogre_11","statset0","ItemSetSA","SkillSetAffA","Krakens"
"Arnaea","ChannelerImp","1#","StatSet1","ItemSetEF","SkillSetAffF","NoSchool"
"Arsinoe","SecutorSteF","1#Steppes_13","StatSet0","ItemSetEF","SkillSetAffF","Sandskimmers"
"Arslan","Bear","1#","statset0","itemsetNE","SkillSetAffE","Eyes of the Beast"
"Artagan","BanditB","2#","statset0","ItemSetNF","skillsetcomb","Roanor Militia"
"Artemij","BanditA","4#","statset0","ItemSetIE","SkillSetAffE","ImperiaPirgosLocalRecruits"
"Artemis","TitanWater","","StatSet0","","skillsetboss","Story Characters"
"Arviragus","Centurion","4#Imperia_07","StatSet0","ItemSetIE","SkillSetComb","ImperiaTrikataLocalRecruit"
"Asaeunn","BerserkerF","3#berserker08","StatSet0","ItemSetNF","SkillSetAffF",""
"Ascalus","Legionnaire","1#School_RedPurple4","statset0","ItemSetIE","skillsetcomb","School of Xandus"
"Asenath","UndeadMeleeSteA","0#School_RedBlue4","StatSet0","ItemSetSD","SkillSetAffD","Qo'ai-Marael"
"Asetbity","DervishF","","StatSet0","ItemSetEA","SkillSetAffA","Whirlwind"
"Ashuruballit","CitizenExp","","StatSet4","ItemSetEU","SkillSetComb","Expanse Citizens"
"As'Karat","Mongrel","0#Nordagh_04","StatSet0","ItemSetSA","SkillSetAffA","Executioner"
"Astra","CitizenImpF","4#Imperia_10","StatSet5","itemsetIU","qstInvasion","Citizen of Imperia"
"Astrid","BanditBF","2#","StatSet3","ItemSetNW","SkillSetAffW","WildernessNordaghOutlaw"
"Astus","UndeadMeleeImpA","","StatSet2","ItemSetIW","SkillSetComb","WildernessImperiaUndead"
"Astymma","Cyclops","0#","StatSet0","ItemSetSF","SkillSetAffF","NoSchool"
"Astynax","Satyr","0#Satyr1","StatSet0","ItemSetEA","SkillSetAffA","Jarha Jesters"
"Asukhe","SamniteSte","1#Steppes_01","StatSet0","ItemSetSF","SkillSetAffF","Krakens"
"Aswad","Dervish","2#Expanse_15","StatSet0","ItemSetEF","SkillSetAffF","The Underclass of Akar An"
"Athaag","CitizenNor","1#","StatSet4","ItemSetGuard","SkillSetAffA","NoSchool"
"Atita","ChannelerImp","","StatSet0","ItemSetEE","SkillSetAffE","lioness"
"Atorgh","Barbarian","1#Nordagh_11","StatSet0","ItemSetNA","SkillSetAffA",""
"Audmund","Berserker","3#berserker04","statset0","ItemSetNE","skillsetcomb","BelfortBarbarian"
"Aulay","Barbarian","","StatSet0","ItemSetNE","SkillSetAffE","Krakens"
"Auliffe","BanditA","1#","StatSet0","ItemSetNA","SkillSetAffA","WildernessNordaghOutlaw"
"Aurora","Wolf","4#","StatSet1","ItemSetNU","SkillSetComb","WildernessNordaghBeast"
"Avitus","Centurion","4#School_Mutuus","StatSet5","ItemSetIU","SkillSetComb","School of Mutuus"
"Avitus_Dark","DarkLegionnaire","","StatSet1","ItemSetID","SkillSetAffD","NoSchool"
"Avna","Satyr","3#Satyr1","statset0","ItemsetNW","skillsetaffW","Uvanlig's Motley"
"Ayzebel","BanditAF","3#","StatSet0","ItemSetIE","SkillSetComb","ImperiaTribunal"
"Azamat","UndeadMeleeSteB","","StatSet0","ItemSetSD","SkillSetAffD","WildernessSteppesUndead"
"Azchk-Ykuk","Scorpion","","StatSet0","ItemSetEF","SkillSetAffF","NoSchool"
"Babur","Cat","","StatSet0","ItemSetEA","SkillSetAffA","Zhigazoo"
"Badilqi","SecutorSteF","","StatSet0","ItemSetEF","SkillSetAffF","Jarha Jesters"
"Badru","Dervish","4#","StatSet1","ItemSetEW","SkillSetAffW","WildernessExpanseOutlaw"
"Badud","MongrelShaman","2#Nordagh_02","StatSet0","ItemSetNU","SkillSetComb",""
"Bagordis","mongrel","1#Nordagh_05","statset0","itemsetIW","skillsetcomb","NoSchool"
"Bagrat","Ogre","","StatSet0","ItemSetSF","SkillSetAffF","ImperiaCroBeast"
"Bahiti","BanditBF","2#","StatSet0","ItemSetSA","SkillSetAffA","Bhilly Bandits"
"Bain","BanditB","0#","StatSet0","ItemSetEW","SkillSetAffW",""
"Baird","BanditB","1#","statset0","ItemSetNF","skillsetcomb","Roanor Militia"
"Bakenmut","UndeadMeleeSteB","","StatSet0","ItemSetED","SkillSetComb","WildernessExpanseUndead"
"Bakt","Dervish","","StatSet0","ItemSetEA","SkillSetAffA","whirlwind"
"Balius","UndeadMeleeImpA","","StatSet1","ItemSetIF","SkillSetComb","WildernessImperiaUndead"
"Balthaz","Ogre","3#","StatSet5","ItemSetIW","SkillSetAffW","ImperiaChampionship"
"Banenre","SamniteExp","0#expanse_04","StatSet0","ItemSetEU","SkillSetComb","NoSchool"
"Baniti","UndeadCasterA","","StatSet2","ItemSetEU","SkillSetComb","WildernessExpanseUndead"
"Banya","ChannelerImp","4#","StatSet0","ItemSetIW","SkillSetAffW","NoSchool"
"Baqet","Summoner","","StatSet0","ItemSetED","SummonerDarkFocus","Story Characters"
"Baqha","BanditAF","","StatSet0","ItemSetSF","SkillSetAffF","Bhilly Bandits"
"Barbeeleen","ChannelerImp","3#Imperia_13","StatSet0","ItemSetIW","SkillSetComb","ImperiaPirgosLocalRecruits"
"Bardus","DarkCat","1#","StatSet1","ItemSetIU","SkillSetComb","WildernessExpanseDark"
"Barin","BarbarianF","3#School_GreenBlack1","statset0","ItemSetNW","skillsetaffW","Masters of the Glade"
"Barkley","PropBarrel","","StatSet0","ItemSetEA","prop_BarrelNorm","ImperiaCroPrisoners"
"Barrel01","PropBarrel","0#","StatSet0","","prop_BarrelNorm","PropSchool"
"Barrel02","PropBarrel","0#","StatSet0","","prop_BarrelNorm","PropSchool"
"Barrel03","PropBarrel","0#","StatSet0","","prop_BarrelNorm","PropSchool"
"Barrel04","PropBarrel","0#","StatSet0","","prop_BarrelNorm","PropSchool"
"Barrel05","PropBarrel","","StatSet0","","prop_BarrelNorm","PropSchool"
"Barrel1","PropBarrel","0#","statset0","ItemSetName1","prop_BarrelNorm","NoSchool"
"Barrel2","PropBarrel","0#","statset0","ItemSetName1","prop_BarrelNorm","NoSchool"
"Barrel3","PropBarrel","0#","statset0","ItemSetName1","prop_BarrelNorm","NoSchool"
"Barrel4","PropBarrel","","StatSet0","ItemSetName1","prop_BarrelNorm","NoSchool"
"Barrel5","PropBarrel","","StatSet0","","prop_BarrelNorm","NoSchool"
"Barrel6","PropBarrel","","StatSet0","","prop_BarrelNorm","NoSchool"
"Barrel7","PropBarrel","","StatSet0","","prop_BarrelNorm","NoSchool"
"Barrel8","PropBarrel","","StatSet0","","prop_BarrelNorm","NoSchool"
"Barrel9","PropBarrel","","StatSet0","","prop_BarrelNorm","NoSchool"
"BarrelE1","PropBarrel","0#","StatSet0","","explodingbarrel","NoSchool"
"BarrelE2","PropBarrel","","StatSet0","","explodingbarrel","NoSchool"
"BarrelE3","PropBarrel","","StatSet0","","explodingbarrel","NoSchool"
"BarrelE4","PropBarrel","","StatSet0","","explodingbarrel","NoSchool"
"BarrelE5","PropBarrel","","StatSet0","","explodingbarrel","NoSchool"
"BarrelE6","PropBarrel","","StatSet0","","explodingbarrel","NoSchool"
"BarrelE7","PropBarrel","","StatSet0","","explodingbarrel","NoSchool"
"BarrelE8","PropBarrel","","StatSet0","","explodingbarrel","NoSchool"
"BarrelE9","PropBarrel","","StatSet0","","explodingbarrel","NoSchool"
"Bartok","MongrelShaman","3#","statset0","ItemsetNE","skillsetaffE","Uvanlig's Motley"
"Bartorius","SecutorImp","2#Imperia_06","StatSet5","ItemSetIW","SkillSetComb","ImperiaOrusOrcusDomini"
"Basz","MongrelShaman","4#School_PurpleYellow1","StatSet0","ItemSetNF","SkillSetAffE","Spellcasters"
"Batachikhan","WolfGreater","3#","statset0","ItemSetSE","SkillSetAffE","Eyes of the Beast"
"Batenkh","SamniteSte","","StatSet0","ItemSetSF","SkillSetAffF","Krakens"
"Batifa","BanditAF","3#","StatSet0","ItemSetEE","SkillSetAffE","WildernessExpanseOutlaw"
"Batnaran","Mongrel","0#Nordagh_06","StatSet0","ItemSetSF","SkillSetAffF","ImperiaCroBeast"
"Battushig","Cyclops","3#","statset0","ItemSetSE","SkillSetAffE","Krakens"
"Batzorig","UndeadCasterB","","StatSet2","ItemSetSD","SkillSetComb","WildernessSteppesUndead"
"Bayan","SecutorSte","3#Steppes_13","StatSet0","ItemSetSF","SkillSetAffF","The Outcasts"
"Bayar","SamniteSteF","4#School_PurpleTurq1","statset0","ItemsetNF","skillsetaffF","Krigare School"
"Bazyli","Murmillo","3#Imperia_10","StatSet1","itemsetIW","skillsetcomb","ImperiaSchool"
"Beans","PropBarrel","","statue","ItemSetNU","prop_BarrelNorm","RollOutTheBarrels"
"Bebti","BanditB","3#","StatSet0","ItemSetEE","SkillSetAffE","WildernessExpanseOutlaw"
"Bechac","UndeadMeleeSteA","","StatSet0","ItemSetSU","SkillSetComb","WildernessSteppesUndead"
"Beketaten","DervishF","","StatSet0","ItemSetEU","SkillSetComb","NoSchool"
"Bekter","Ogre","3#School_YellowBlack4","statset0","ItemSetSA","skillsetcomb","School of Suyhron"
"Belgutai","Minotaur","1#School_YellowBlack4","statset0","ItemSetIF","skillsetcomb","School of Suyhron"
"Bellerophon","PeltastF","3#School_YellowBlue1","StatSet0","ItemSetIF","SkillSetAffF","Borte Hulagu"
"Bellona","SecutorImpF","2#School_BlackYellow3","statset0","ItemSetIE","SkillSetAffE","Femina Formosos"
"Benedict","samniteImp","3#Imperia_02","StatSet1","itemsetIF","skillsetcomb","ImperiaSchool"
"Benedykt","Centurion","2#School_BlackBlue2","StatSet0","ItemSetIW","SkillSetComb","ImperiaPirgosBrutes"
"Berdis","BerserkerF","4#School_BlueWhite1","statset0","ItemSetNE","skillsetaffE","Children of Mjolnir"
"Bergrim","Barbarian","4#School_PurpleTurq2","statset0","ItemSetNA","skillsetcomb","Krigare School"
"Berke","BanditAF","3#","StatSet0","ItemSetNW","SkillSetComb","The Plainsdwellers"
"Bermork","Berserker","4#berserker15","StatSet0","ItemSetNE","SkillSetComb",""
"Bertha","CenturionF","3#Imperia_16","StatSet0","ItemSetIF","SkillSetAffF","ImperiaMawLocalRecruits"
"Berto","Cyclops","2#","StatSet2","ItemSetIF","SkillSetAffF","ImperiaMonsterSchool"
"Besenmut","UndeadMeleeExpB","","StatSet0","ItemSetED","SkillSetComb","WildernessExpanseUndead"
"Beshoy","Dervish","","StatSet0","ItemSetEF","SkillSetAffF","Mikara Jackals"
"Besok","MongrelShaman","4#Nordagh_06","StatSet1","ItemSetNF","SkillSetAffF","WildernessNordaghMonster"
"Bestla","Wolf","3#","StatSet0","ItemSetNE","SkillSetAffE",""
"Betaht","UndeadMeleeSteA","","StatSet2","ItemSetSU","SkillSetComb","WildernessSteppesUndead"
"Betankre","BanditA","2#","StatSet0","ItemSetSE","SkillSetComb","WildernessSteppesOutlaw"
"Bethag","BarbarianF","3#School_PurpleTurq3","statset0","ItemSetNW","skillsetaffW","Krigare School"
"Bethia","BanditAF","1#","StatSet1","ItemSetNA","SkillSetAffA","WildernessNordaghOutlaw"
"Bevan","Satyr","1#Satyr1","StatSet0","ItemSetNU","SkillSetComb",""
"Bhekra","Amazon","0#School_YellowGreen4","StatSet0","ItemSetSA","SkillSetAffA","Rywigo Arrowheads"
"Bhetak","BanditAF","2#","StatSet0","ItemSetSA","SkillSetAffA","NoSchool"
"Bhrubic","Barbarian","3#Nordagh_18","StatSet0","ItemSetSF","SkillSetAffF","Baneful Berserkers"
"Bhruic","Satyr","3#Satyr1","StatSet0","ItemSetNE","SkillSetComb","Shepards of Sloan"
"Bhruq","BanditA","0#School_YellowBlack4","StatSet0","ItemSetSU","SkillSetComb","School of Suyhron"
"Bhurg","BanditA","","StatSet0","ItemSetSF","SkillSetAffF","vhyn Vagrants"
"Bint-Anath","DervishF","","StatSet0","ItemSetEW","SkillSetAffW","Well Diggers"
"Birch","PropBarrel","","StatSet0","","prop_BarrelNorm","ImperiaSyrnaPropSchool"
"Bithiah","ChannelerImp","2#School_BlackBlack5","StatSet0","ItemSetEF","SkillSetAffF","Riot Gyhrls"
"Bjolf","BanditA","1#","StatSetW","ItemSetNA","SkillSetTrain","Fliuch Home Guard"
"Bjord","Wolf","3#","statset0","ItemsetNE","skillsetaffE","Vargen Irregulars"
"Bjorg","Barbarian","1#Nordagh_04","statset0","ItemSetNW","skillsetcomb","BelfortBarbarian"
"Bjornson","Barbarian","0#Nordagh_16","statset0","ItemSetNE","skillsetcomb","NordaghSchool"
"Blackadder","BanditA","1#","StatSet0","ItemSetNF","SkillSetComb","Black Band of Seven"
"Blain","Satyr","2#Satyr1","statset0","ItemsetNA","skillsetaffA","Masters of the Glade"
"Blaise","Legionnaire","3#","StatSet1","ItemSetIE","SkillSetAffE","ImperiaBelfortLocalRecruits"
"Blasius","Legionnaire","1#Imperia_19","StatSet0","ItemSetIA","SkillSetComb",""
"Bleeding Statue A","PropStatue","","statue","","prop_bleeding","Dynamic Statues"
"Bleeding Statue B","PropStatue","","statue","","prop_bleeding","Dynamic Statues"
"Bleeding Statue C","PropStatue","","statue","","prop_bleeding","Dynamic Statues"
"Bleeding Statue D","PropStatue","","statue","","prop_bleeding","Dynamic Statues"
"Blinding Statue A","PropStatue","","statue","","prop_blind","Dynamic Statues"
"Blinding Statue B","PropStatue","","statue","","prop_blind","Dynamic Statues"
"Blinding Statue C","PropStatue","","statue","","prop_blind","Dynamic Statues"
"Blinding Statue D","PropStatue","","statue","","prop_blind","Dynamic Statues"
"Blinne","BanditAF","1#","StatSet1","ItemSetNE","SkillSetAffE","WildernessNordaghOutlaw"
